date,trade_date,strategy,model_name,horizon,strategy_role,is_benchmark_clone,benchmark_return,strategy_return,active_return,fwd_ret_1d,final_position,position_gap,position_gap_return,turnover,turnover_cost,benchmark_turnover,benchmark_turnover_cost,incremental_turnover_cost,equity,benchmark_equity,drawdown,benchmark_drawdown,cumulative_active_return
2025-01-02,2025-01-03,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.048828311462035257,-0.048828311462035257,0.0,-0.047828311462035256,1.0,0.0,-0.0,1.0,0.001,1.0,0.001,0.0,95117.16885379648,95117.16885379648,-0.048828311462035145,-0.048828311462035145,0.0
2025-01-03,2025-01-06,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.006965038296092518,-0.006965038296092518,0.0,-0.006965038296092518,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,94454.67413011388,94454.67413011388,-0.055453258698861196,-0.055453258698861196,0.0
2025-01-06,2025-01-07,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.03666059264155752,0.03666059264155752,0.0,0.03666059264155752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97917.43846148904,97917.43846148904,-0.02082561538510952,-0.02082561538510952,0.0
2025-01-07,2025-01-08,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.0023530938670022206,-0.0023530938670022206,0.0,-0.0023530938670022206,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,97687.02953757274,97687.02953757274,-0.02312970462427255,-0.02312970462427255,0.0
2025-01-08,2025-01-09,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.005732579547672145,0.005732579547672145,0.0,0.005732579547672145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98247.02820517268,98247.02820517268,-0.017529717948273182,-0.017529717948273182,0.0
2025-01-09,2025-01-10,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.03154771947584489,-0.03154771947584489,0.0,-0.03154771947584489,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,95147.55852002048,95147.55852002048,-0.04852441479979519,-0.04852441479979519,0.0
2025-01-10,2025-01-13,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.009250844219383714,0.009250844219383714,0.0,0.009250844219383714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96027.75376174388,96027.75376174388,-0.03972246238256116,-0.03972246238256116,0.0
2025-01-13,2025-01-14,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.05471148230514955,0.05471148230514955,0.0,0.05471148230514955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101281.57451248278,101281.57451248278,0.0,0.0,0.0
2025-01-14,2025-01-15,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.0002536797198067209,0.0002536797198067209,0.0,0.0002536797198067209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101307.26759392669,101307.26759392669,0.0,0.0,0.0
2025-01-15,2025-01-16,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.009460126480445696,0.009460126480445696,0.0,0.009460126480445696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102265.64715875359,102265.64715875359,0.0,0.0,0.0
2025-01-16,2025-01-17,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.005173354657099671,-0.005173354657099671,0.0,-0.005173354657099671,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,101736.59069676354,101736.59069676354,-0.005173354657099671,-0.005173354657099671,0.0
2025-01-17,2025-01-20,buy_hold,benchmark,0,buy-and-hold benchmark,False,0.017091603281457424,0.017091603281457424,0.0,0.017091603281457424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103475.43214416063,103475.43214416063,0.0,0.0,0.0
2025-01-20,2025-01-21,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.011275013683268997,-0.011275013683268997,0.0,-0.011275013683268997,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,102308.74523085305,102308.74523085305,-0.011275013683268997,-0.011275013683268997,0.0
2025-01-21,2025-01-22,buy_hold,benchmark,0,buy-and-hold benchmark,False,-0.010860818422885998,-0.010860818422885998,0.0,-0.010860818422885998,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,101197.58852582745,101197.58852582745,-0.022013376229825465,-0.022013376229825465,0.0
