model_name,horizon,n_eval,MAE,RMSE,directional_accuracy_from_regression,directional_accuracy,return_correlation,accuracy,precision,recall,F1,AUC,balanced_accuracy,trade_accuracy,trade_precision,trade_recall,trade_F1,trade_AUC,big_up_accuracy,big_up_precision,big_up_recall,big_up_F1,big_up_AUC,big_down_accuracy,big_down_precision,big_down_recall,big_down_F1,big_down_AUC,tail_score_return_correlation,tail_score_directional_accuracy
HistGradientBoosting,1,320,0.012215647458297821,0.016988741938108856,0.509375,0.509375,0.14711521683610485,0.515625,0.5862068965517241,0.6263157894736842,0.6055979643765903,0.4936437246963563,0.49008097165991904,0.471875,0.47474747474747475,0.2865853658536585,0.3574144486692015,0.4838961851156973,0.640625,0.56,0.11864406779661017,0.1958041958041958,0.5499664373216981,0.696875,0.3333333333333333,0.11494252873563218,0.17094017094017094,0.49884070840116423,0.06680686461190762,0.53125
RandomForest,5,316,0.028388062552987044,0.03587746477940525,0.5537974683544303,0.5537974683544303,0.011010154830823465,0.5537974683544303,0.6985645933014354,0.6517857142857143,0.674364896073903,0.4921875,0.48350155279503104,0.5316455696202531,0.6881720430107527,0.5871559633027523,0.6336633663366337,0.5266335892155027,0.5632911392405063,0.4090909090909091,0.29508196721311475,0.34285714285714286,0.5245901639344261,0.5981012658227848,0.15384615384615385,0.21875,0.18064516129032257,0.4824528769841269,0.09821199440343444,0.4810126582278481
ExtraTrees,3,318,0.021496229898639835,0.028606751487240057,0.5817610062893082,0.5817610062893082,0.04390628589616449,0.6226415094339622,0.6816479400749064,0.8387096774193549,0.7520661157024794,0.4919012638591048,0.49856275950175666,0.559748427672956,0.6386554621848739,0.7378640776699029,0.6846846846846847,0.49198162274618584,0.5660377358490566,0.4336283185840708,0.3983739837398374,0.4152542372881356,0.5631436314363144,0.5849056603773585,0.24390243902439024,0.43478260869565216,0.3125,0.49339386531633783,0.0729946877933291,0.4811320754716981
HistGradientBoosting,3,318,0.022743091468548818,0.02948728135255474,0.5314465408805031,0.5314465408805031,0.13873265489559847,0.5880503144654088,0.6692913385826772,0.783410138248848,0.721868365180467,0.4908062234794908,0.47586348496600817,0.559748427672956,0.6513761467889908,0.6893203883495146,0.6698113207547169,0.5144330790568655,0.6257861635220126,0.5714285714285714,0.13008130081300814,0.2119205298013245,0.6069626850114654,0.7452830188679245,0.0,0.0,0.0,0.4042255980443514,0.019241848484993933,0.5345911949685535
ExtraTrees,1,320,0.012175895595800476,0.01700948551415231,0.534375,0.534375,0.03883344372542984,0.43125,0.5476190476190477,0.24210526315789474,0.3357664233576642,0.488582995951417,0.4748987854251012,0.515625,0.5314685314685315,0.4634146341463415,0.495114006514658,0.5207942464040025,0.590625,0.44881889763779526,0.4830508474576271,0.46530612244897956,0.57417351904682,0.5125,0.2958579881656805,0.5747126436781609,0.390625,0.5151694538996596,0.018771745592903913,0.43125
RandomForest,10,311,0.04087151767696591,0.0480135610134909,0.5369774919614148,0.5369774919614148,0.08099264695557877,0.5530546623794212,0.7238095238095238,0.6523605150214592,0.6862302483069977,0.48717948717948717,0.4543853857158578,0.5176848874598071,0.6869158878504673,0.6391304347826087,0.6621621621621622,0.43902308105206655,0.5498392282958199,0.5121951219512195,0.29577464788732394,0.375,0.505667138928244,0.5562700964630225,0.2361111111111111,0.5483870967741935,0.3300970873786408,0.5200155460551885,0.09580985631364068,0.49517684887459806
HistGradientBoosting,10,311,0.049581042612475104,0.062243244874009875,0.4533762057877814,0.4533762057877814,-0.057217200314921224,0.572347266881029,0.7100840336134454,0.7253218884120172,0.7176220806794055,0.48002641135688345,0.4203532518983163,0.5144694533762058,0.670995670995671,0.6739130434782609,0.6724511930585684,0.4022544283413849,0.5176848874598071,0.4393939393939394,0.20422535211267606,0.27884615384615385,0.46349695807984,0.6430868167202572,0.0196078431372549,0.016129032258064516,0.017699115044247787,0.38618992097421945,-0.036169598525493264,0.4983922829581994
ExtraTrees,10,311,0.039993219639696403,0.046693376260145594,0.6045016077170418,0.6045016077170418,0.1185834667791921,0.5080385852090032,0.7,0.6008583690987125,0.6466512702078522,0.47678001540662485,0.4158137999339716,0.45980707395498394,0.6703296703296703,0.5304347826086957,0.5922330097087378,0.43097155126140635,0.5852090032154341,0.5783132530120482,0.3380281690140845,0.4266666666666667,0.5337528127343946,0.43729903536977494,0.21608040201005024,0.6935483870967742,0.32950191570881227,0.5071900505246794,0.13471894523439373,0.4212218649517685
LightGBM,5,316,0.02922719080933242,0.037674017002650315,0.5981012658227848,0.5981012658227848,0.05041284073245994,0.6075949367088608,0.7016129032258065,0.7767857142857143,0.7372881355932204,0.4752038043478261,0.4862189440993789,0.5854430379746836,0.7004608294930875,0.6972477064220184,0.6988505747126437,0.5218592023965549,0.6107594936708861,0.4827586206896552,0.11475409836065574,0.18543046357615894,0.47921243873584585,0.7689873417721519,0.30434782608695654,0.109375,0.16091954022988506,0.4594184027777778,0.018943057848635016,0.5063291139240507
LightGBM,3,318,0.02270065515694317,0.02972350382206796,0.5471698113207547,0.5471698113207547,0.08522438228315707,0.5660377358490566,0.6573705179282868,0.7603686635944701,0.7051282051282052,0.4750193913400557,0.4544417575398093,0.5220125786163522,0.6273584905660378,0.6456310679611651,0.6363636363636364,0.4895977808599167,0.6037735849056604,0.45454545454545453,0.12195121951219512,0.19230769230769232,0.5788617886178862,0.7547169811320755,0.09090909090909091,0.014492753623188406,0.025,0.4758163087131133,0.07223702616622694,0.5251572327044025
LightGBM,20,301,0.09896575517441408,0.11803075930005996,0.43521594684385384,0.43521594684385384,0.06260111382843343,0.5382059800664452,0.7513227513227513,0.6068376068376068,0.6713947990543735,0.4719351958157928,0.45267253476208696,0.5514950166112956,0.7461139896373057,0.6260869565217392,0.6808510638297872,0.5046846295162277,0.4983388704318937,0.5204081632653061,0.32903225806451614,0.4031620553359684,0.4588157313300928,0.584717607973422,0.1559633027522936,0.34,0.2138364779874214,0.38565737051792826,0.014276014849246621,0.4717607973421927
XGBoost,20,301,0.09326063667616183,0.10776877543915234,0.43521594684385384,0.43521594684385384,0.1294261492138565,0.5348837209302325,0.7554347826086957,0.594017094017094,0.6650717703349283,0.46772547518816177,0.4611876514861589,0.53156146179402,0.7405405405405405,0.5956521739130435,0.6602409638554216,0.4759951010410287,0.4950166112956811,0.5168539325842697,0.2967741935483871,0.3770491803278688,0.4152452496685815,0.5647840531561462,0.14782608695652175,0.34,0.20606060606060606,0.4017529880478088,-0.00741491857672159,0.4684385382059801
GradientBoosting,5,316,0.02852398487542663,0.0371671895594685,0.6550632911392406,0.6550632911392406,-0.01662555126741257,0.6582278481012658,0.6986301369863014,0.9107142857142857,0.7906976744186046,0.43703901397515527,0.47709627329192544,0.6012658227848101,0.6825396825396826,0.7889908256880734,0.7319148936170212,0.4842023965549523,0.6234177215189873,0.6363636363636364,0.05737704918032787,0.10526315789473684,0.46805813756971437,0.7974683544303798,0.0,0.0,0.0,0.3898499503968254,-0.06890291772669112,0.5031645569620253
RandomForest,20,301,0.07203934777099869,0.08421085609224263,0.46179401993355484,0.46179401993355484,0.10097922355223483,0.5049833887043189,0.7374301675977654,0.5641025641025641,0.639225181598063,0.4274779946421738,0.4313050133945656,0.45182724252491696,0.6836158192090396,0.5260869565217391,0.5945945945945946,0.38766074709124315,0.5083056478405316,0.5339805825242718,0.3548387096774194,0.4263565891472868,0.43574900574458686,0.43853820598006643,0.12101910828025478,0.38,0.18357487922705315,0.4352191235059761,0.02265909056410013,0.40863787375415284
XGBoost,10,311,0.051779911650485594,0.06324122762332034,0.42765273311897106,0.42765273311897106,-0.09344655112356963,0.5273311897106109,0.6869565217391305,0.6781115879828327,0.6825053995680346,0.41405304280840755,0.3775173324529548,0.5337620578778135,0.6872246696035242,0.6782608695652174,0.6827133479212254,0.4128287707997853,0.5755627009646302,0.5806451612903226,0.2535211267605634,0.35294117647058826,0.5171680973414451,0.6205787781350482,0.0625,0.06451612903225806,0.06349206349206349,0.4467547609794015,0.014814311750178711,0.48231511254019294
GradientBoosting,10,311,0.04098728740928134,0.048766271845647115,0.5048231511254019,0.5048231511254019,0.0460233110443466,0.662379421221865,0.7269503546099291,0.8798283261802575,0.7961165048543689,0.40010454495433034,0.44632441950038515,0.639871382636656,0.7122302158273381,0.8608695652173913,0.7795275590551181,0.4067901234567901,0.5691318327974276,0.6176470588235294,0.14788732394366197,0.23863636363636365,0.4919159929994166,0.7459807073954984,0.0,0.0,0.0,0.37417411581811116,-0.03118429437613973,0.5819935691318328
GradientBoosting,20,301,0.06711408874456559,0.07846353165676052,0.5116279069767442,0.5116279069767442,0.07979749731100577,0.6411960132890365,0.7423076923076923,0.8247863247863247,0.7813765182186235,0.38436025003189184,0.41239316239316237,0.6312292358803987,0.7489539748953975,0.7782608695652173,0.7633262260127932,0.41135946111451316,0.5149501661129569,0.5584415584415584,0.27741935483870966,0.3706896551724138,0.433738400353513,0.627906976744186,0.08108108108108109,0.12,0.0967741935483871,0.37151394422310763,0.0068494730833443054,0.5049833887043189
HistGradientBoosting,20,301,0.09504025345494307,0.11611639945595896,0.45514950166112955,0.45514950166112955,0.021785778480787058,0.4883720930232558,0.717391304347826,0.5641025641025641,0.631578947368421,0.37925755836203595,0.3939915805587447,0.4684385382059801,0.7134146341463414,0.508695652173913,0.5939086294416244,0.4446723821187998,0.4717607973421927,0.4777777777777778,0.27741935483870966,0.3510204081632653,0.4250331418471056,0.5880398671096345,0.13,0.26,0.17333333333333334,0.370996015936255,-0.04088168904657754,0.44518272425249167
LightGBM,10,311,0.049271444906497486,0.060764385586186104,0.4662379421221865,0.4662379421221865,-0.009607725290496416,0.5659163987138264,0.696,0.7467811158798283,0.7204968944099379,0.3742434246726092,0.386211070760427,0.5401929260450161,0.6866952789699571,0.6956521739130435,0.6911447084233261,0.3690821256038648,0.5530546623794212,0.5185185185185185,0.29577464788732394,0.37668161434977576,0.4950829235769647,0.6205787781350482,0.03333333333333333,0.03225806451612903,0.03278688524590164,0.43852830677548904,0.003612932994667273,0.4887459807073955
ExtraTrees,20,301,0.06541950652599202,0.07609255333143188,0.5780730897009967,0.5780730897009967,0.06895701867788595,0.4950166112956811,0.7228260869565217,0.5683760683760684,0.6363636363636364,0.33894629417017486,0.40359101926266105,0.5016611295681063,0.7105263157894737,0.5869565217391305,0.6428571428571429,0.39473361910594,0.47840531561461797,0.49107142857142855,0.3548387096774194,0.41198501872659177,0.4083075563411401,0.33554817275747506,0.125,0.5,0.2,0.429800796812749,0.023713841553578304,0.38205980066445183
