strategy,model_name,horizon,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,avg_turnover,total_days,avg_position,min_position,max_position,days_below_full_exposure,pct_days_below_full_exposure,total_turnover,active_return_sum,avg_abs_position_gap,benchmark_total_return,excess_return_vs_buy_hold,annualized_excess_return,tracking_error,information_ratio,is_benchmark_clone,is_real_ml_timing_strategy,strategy_role,strategy_score
ml_index_enhanced_plus_120,GradientBoosting,5,1.200519142247276,0.8609665042218604,0.28152356666681355,2.3519572476961192,-0.17260282010543793,4.98813694756506,0.59375,0.009218750000000001,320,1.07109375,0.95,1.2,25,0.078125,2.95,0.04821066443636447,0.07890625,1.1065260190409427,0.09399312320633335,0.06288705722094212,0.0259128056905896,1.4651403903138356,False,False,enhanced-exposure strategy,1.7972076870281812
ml_index_enhanced_plus_120,GradientBoosting,3,1.1963734985386987,0.858205017673275,0.2799260247487757,2.358432465544787,-0.17260282010543793,4.972137866281808,0.59375,0.010468749999999999,320,1.06171875,0.95,1.2,25,0.078125,3.3499999999999996,0.04574111738764382,0.06953125,1.1065260190409427,0.08984747949775596,0.06012557067235669,0.024279332984425972,1.483612830956902,False,False,enhanced-exposure strategy,1.7918047924175537
ml_index_enhanced_plus_120,LightGBM,3,1.1921446817001722,0.8553869866180592,0.2790612949963609,2.3593737958734744,-0.17260282010543793,4.955811186025401,0.59375,0.010468749999999999,320,1.06171875,0.95,1.2,25,0.078125,3.3499999999999996,0.04348496772227893,0.06953125,1.1065260190409427,0.08561866265922946,0.05730753961714097,0.02335656021779259,1.4661581911880974,False,False,enhanced-exposure strategy,1.784593038626352
ml_index_enhanced_plus_115,GradientBoosting,5,1.173168783436624,0.8427274195978423,0.2780938055421646,2.341982719665777,-0.17260282010543793,4.882466109667531,0.59375,0.00796875,320,1.05234375,0.95,1.15,25,0.078125,2.55,0.034444942539946385,0.06015624999999997,1.1065260190409427,0.06664276439568129,0.04464797259692399,0.019513634549515692,1.3900738061572953,False,False,enhanced-exposure strategy,1.7457308022289206
ml_index_enhanced_plus_115,GradientBoosting,3,1.1700754647655964,0.8406615230013834,0.276909402561245,2.3467325586983927,-0.17260282010543793,4.87049703178574,0.59375,0.00890625,320,1.0453125,0.95,1.15,25,0.078125,2.8499999999999996,0.03259278225340589,0.05312499999999998,1.1065260190409427,0.06354944572465371,0.04258207600046515,0.018293395137478234,1.4030646488345266,False,False,enhanced-exposure strategy,1.7416686196913194
ml_index_enhanced_plus_115,LightGBM,3,1.1669283113606457,0.83855903015652,0.27626891817099763,2.3473497369787233,-0.17260282010543793,4.858315928119072,0.59375,0.00890625,320,1.0453125,0.95,1.15,25,0.078125,2.8499999999999996,0.03090067000438223,0.053124999999999964,1.1065260190409427,0.060402292319702955,0.04047958315560174,0.01760420752085671,1.382298953225858,False,False,enhanced-exposure strategy,1.7362703990371344
ml_index_enhanced_plus_120,XGBoost,5,1.1680250304860293,0.839291779881292,0.2809117147589944,2.3146723880440976,-0.17260282010543793,4.862561222166553,0.59375,0.014218749999999999,320,1.06484375,0.95,1.2,25,0.078125,4.55,0.03308329505412999,0.07265624999999999,1.1065260190409427,0.06149901144508663,0.04121233288037374,0.025280393857120612,1.0305652278352109,False,False,enhanced-exposure strategy,1.7284129722916264
ml_index_enhanced_plus_120,HistGradientBoosting,3,1.167690830553762,0.8390684995996021,0.28110523160584117,2.312826970369725,-0.17260282010543793,4.861267614787754,0.59375,0.010468749999999999,320,1.06484375,0.95,1.2,25,0.078125,3.3499999999999996,0.03299335415159454,0.07265625,1.1065260190409427,0.061164811512819384,0.040989052598683795,0.02546220900815694,1.0204246766671798,False,False,enhanced-exposure strategy,1.7272664255812877
ml_index_enhanced_plus_120,HistGradientBoosting,1,1.155898260705543,0.8311851444008183,0.27230649066922763,2.3626715183301696,-0.17260282010543793,4.815594228953339,0.59375,0.01515625,320,1.021875,0.85,1.2,30,0.09375,4.85,0.024387676171412624,0.034375,1.1065260190409427,0.0493722416646003,0.03310569739989999,0.015990899124759397,1.2010140790176742,False,False,enhanced-exposure strategy,1.7212925429543189
ml_index_enhanced_plus_120,XGBoost,10,1.1607117978625228,0.8344041070647334,0.2797900640377973,2.3132666292135378,-0.17260282010543793,4.834243765860957,0.59375,0.01171875,320,1.05859375,0.95,1.2,25,0.078125,3.75,0.029287014029864878,0.06640624999999999,1.1065260190409427,0.054185778821580044,0.036324660063815184,0.02411073134228408,0.956566734583909,False,False,enhanced-exposure strategy,1.715014520757833
ml_index_enhanced_plus_120,RandomForest,5,1.1502881056739511,0.8274315304343769,0.2748240692951171,2.3361077552453917,-0.17260282010543793,4.793847110545028,0.59375,0.009218750000000001,320,1.03359375,0.95,1.2,25,0.078125,2.95,0.022670660105121723,0.04140625,1.1065260190409427,0.0437620866330084,0.02935208343345863,0.018151112138669788,0.9835840744297079,False,False,enhanced-exposure strategy,1.7033638353156315
ml_index_enhanced_plus_120,XGBoost,3,1.152684640132441,0.8290352458124048,0.28062864493091044,2.2967515736634594,-0.17260282010543793,4.803138473090833,0.59375,0.012968749999999998,320,1.06171875,0.95,1.2,25,0.078125,4.1499999999999995,0.02586512645647763,0.06953124999999998,1.1065260190409427,0.046158621091498375,0.03095579881148658,0.024929585223354388,0.8170527869591012,False,False,enhanced-exposure strategy,1.6958117878087027
ml_index_enhanced_plus_120,GradientBoosting,1,1.1412519488657544,0.8213812851848621,0.2700507206917264,2.3602452570709582,-0.17260282010543793,4.758794118677231,0.59375,0.01171875,320,1.01484375,0.95,1.2,25,0.078125,3.75,0.01678785765791068,0.02265625,1.1065260190409427,0.03472592982481171,0.023301838183943824,0.009555769591401222,1.3835032101968112,False,False,enhanced-exposure strategy,1.6945583306815455
ml_index_enhanced_plus_115,XGBoost,5,1.149047841281483,0.8266014199102294,0.27764013352556965,2.313629072020683,-0.17260282010543793,4.789037742287659,0.59375,0.011718749999999997,320,1.04765625,0.95,1.15,25,0.078125,3.749999999999999,0.023099415503270528,0.055468749999999976,1.1065260190409427,0.04252182224054035,0.028521972909311133,0.01903877445080163,0.9554601193387012,False,False,enhanced-exposure strategy,1.694418092304277
ml_index_enhanced_plus_115,HistGradientBoosting,3,1.1488014063473355,0.826436468575563,0.2777838784944869,2.3122406045304382,-0.17260282010543793,4.788082072301701,0.59375,0.00890625,320,1.04765625,0.95,1.15,25,0.078125,2.8499999999999996,0.023031959826368936,0.05546874999999997,1.1065260190409427,0.0422753873063928,0.028357021574644703,0.019174562835534634,0.94592343610841,False,False,enhanced-exposure strategy,1.6935639831258644
ml_index_enhanced_plus_120,LightGBM,5,1.1514994739525757,0.8282422025417744,0.28197744970601935,2.285565088337807,-0.17260282010543815,4.798543859456206,0.59375,0.012656249999999999,320,1.071875,0.85,1.2,30,0.09375,4.05,0.025793422185359856,0.084375,1.1065260190409427,0.04497345491163296,0.030162755540856123,0.026954043789300414,0.7535908203515643,False,False,enhanced-exposure strategy,1.690351753304216
ml_index_enhanced_plus_115,HistGradientBoosting,1,1.139207593550743,0.8200117155732007,0.27114515773327963,2.349011396723974,-0.17260282010543793,4.75085931430483,0.59375,0.012656249999999997,320,1.01484375,0.85,1.15,30,0.09375,4.049999999999999,0.016200090039818052,0.02734374999999999,1.1065260190409427,0.03268157450980036,0.021932268572282476,0.012552215523758273,1.0163600905521226,False,False,enhanced-exposure strategy,1.6875568563879586
ml_index_enhanced_plus_115,XGBoost,10,1.1435931129629417,0.8229493538773693,0.2768088744335395,2.3124768211078215,-0.17260282010543793,4.767878956871354,0.59375,0.009843749999999998,320,1.04296875,0.95,1.15,25,0.078125,3.1499999999999995,0.020252204735071687,0.05078124999999998,1.1065260190409427,0.03706709392199903,0.024869906876451076,0.01816423983531354,0.8780224976914734,False,False,enhanced-exposure strategy,1.6843859316286163
ml_index_enhanced_plus_120,ExtraTrees,3,1.1360518211992177,0.817897031042838,0.2706934752627427,2.3481975022761303,-0.17260282010543793,4.738607576302687,0.59375,0.009218750000000001,320,1.01484375,0.95,1.2,25,0.078125,2.95,0.014573012976230123,0.02265625,1.1065260190409427,0.02952580215827494,0.01981758404191969,0.011030754197373602,1.0403864970097592,False,False,enhanced-exposure strategy,1.6817065681016516
ml_index_enhanced_plus_120,RandomForest,3,1.1418290821541897,0.8217678722775299,0.2778806603051637,2.302321163168664,-0.17260282010543793,4.761033868250451,0.59375,0.010468749999999999,320,1.04296875,0.95,1.2,25,0.078125,3.3499999999999996,0.019815911466951334,0.05078125,1.1065260190409427,0.035303063113246935,0.023688425276611635,0.021970723404802453,0.7102647460762791,False,False,enhanced-exposure strategy,1.6782061857139365
ml_index_enhanced_plus_115,RandomForest,5,1.1357669486044886,0.81770610512645,0.2731385902982411,2.3292436314950153,-0.17260282010543793,4.737501418730805,0.59375,0.00796875,320,1.02421875,0.95,1.15,25,0.078125,2.55,0.015289939291514325,0.03203124999999999,1.1065260190409427,0.029240929563545848,0.01962665812553177,0.013719910204181214,0.8776170552776671,False,False,enhanced-exposure strategy,1.6755143027582116
ml_index_enhanced_plus_120,HistGradientBoosting,10,1.1436396946504876,0.8229805497420393,0.2811041594943213,2.281509568328688,-0.17260282010543793,4.76805969473329,0.59375,0.01171875,320,1.06484375,0.95,1.2,25,0.078125,3.75,0.021811218803366242,0.07265624999999999,1.1065260190409427,0.03711367560954493,0.024901102741121006,0.025402767802246637,0.6761599736439676,False,False,enhanced-exposure strategy,1.6751784850548093
ml_index_enhanced_plus_120,LightGBM,10,1.1436396946504876,0.8229805497420393,0.2811041594943213,2.281509568328688,-0.17260282010543793,4.76805969473329,0.59375,0.01171875,320,1.06484375,0.95,1.2,25,0.078125,3.75,0.021811218803366242,0.07265624999999999,1.1065260190409427,0.03711367560954493,0.024901102741121006,0.025402767802246637,0.6761599736439676,False,False,enhanced-exposure strategy,1.6751784850548093
ml_index_enhanced_plus_115,XGBoost,3,1.137628545994108,0.8189536779915634,0.27743122435867523,2.300004461039033,-0.17260282010543793,4.744729416884898,0.59375,0.010781249999999997,320,1.0453125,0.95,1.15,25,0.078125,3.4499999999999993,0.017685789055031258,0.05312499999999998,1.1065260190409427,0.031102526953165288,0.020874230990645115,0.01877554837637639,0.7417923887837508,False,False,enhanced-exposure strategy,1.6700497486418548
