factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,mean_when_big_up,mean_when_big_down,difference_big_up_down,missing_rate,max_abs_tail_corr
amihud_illiq_5,10,0.27382563321623915,0.2511642893818274,-0.09683544074073289,0.011593764608756814,0.008581835988983993,0.0030119286197728204,0.001566579634464752,0.2511642893818274
m5_intraday_range_mean_5,5,0.2513609007630351,0.2500817304376004,-0.09299656440749877,0.03413582189993021,0.025704076618213577,0.008431745281716634,0.8390625,0.2500817304376004
m5_intraday_range,10,0.22918644611965863,0.24871636222485313,-0.06785103008322828,0.03522122185015588,0.02579047309107862,0.009430748759077259,0.8402088772845953,0.24871636222485313
m5_intraday_volatility,10,0.1951208070415442,0.24825752548651625,-0.05722032743959667,0.0022941162765585284,0.001826957098402534,0.0004671591781559943,0.8402088772845953,0.24825752548651625
amihud_illiq_5,5,0.21713094107926517,0.24802616224394505,-0.11320543733829977,0.011655232890088716,0.008531427417996262,0.003123805472092454,0.0015625,0.24802616224394505
amihud_illiq_5,20,0.37012121810210125,0.24793427722995892,-0.11901442957817135,0.01154013998741236,0.008225009252272795,0.003315130735139565,0.0015748031496062992,0.24793427722995892
m5_large_drop_count,10,0.11935633197527569,0.24444833456821716,-0.030198644961884846,3.7758620689655173,2.510869565217391,1.2649925037481262,0.8402088772845953,0.24444833456821716
m5_open_30m_range,20,0.2938319295965173,0.24438934380307267,-0.11008732145253648,0.020665047750884624,0.014207558148997036,0.006457489601887589,0.8446194225721785,0.24438934380307267
m5_intraday_max_return,20,0.23746990342247565,0.24321946523815954,-0.10700451756877052,0.018036476902128624,0.01105782696771317,0.006978649934415455,0.8446194225721785,0.24321946523815954
m5_last30_volume_share_mean_5,20,-0.25108880763326874,-0.24170048465436206,0.12268277889259498,0.1306069421409266,0.13571613032962634,-0.005109188188699737,0.8456692913385827,0.24170048465436206
m5_close_vwap_position_std_5,10,0.15519932815171855,0.24118516826738365,-0.047803134260018636,0.007772303658169244,0.005815277163198243,0.0019570264949710014,0.8412532637075718,0.24118516826738365
m5_intraday_volatility_mean_5,3,0.16030348128090313,0.23883769272410837,-0.003194315169126965,0.0022278736436882494,0.0019316283998031122,0.00029624524388513723,0.8381893860561914,0.23883769272410837
m5_afternoon_return_std_5,20,0.2730741787950786,0.2347168103597254,-0.05749095708498152,0.011467952498537971,0.008788458288551817,0.0026794942099861545,0.8456692913385827,0.2347168103597254
atr_ratio_5,10,0.2674117317022027,0.2344622022584217,-0.08170417515018316,0.023376375892820073,0.018276319687887184,0.005100056204932889,0.0010443864229765013,0.2344622022584217
downside_volatility_20,10,0.23388421159783904,0.23299353570915818,-0.08900984148008802,0.011884565608596466,0.009058324112512506,0.0028262414960839605,0.004699738903394256,0.23299353570915818
m5_intraday_return_std_5,5,0.19025805121983513,0.2317950983497929,-0.10891514993437569,0.02451836863463319,0.017645210064023188,0.006873158570610001,0.8390625,0.2317950983497929
m5_intraday_volatility_std_5,5,0.1684240135000347,0.2311473532303948,-0.09352788020467394,0.0006913483433597071,0.0004832916718863641,0.00020805667147334305,0.8390625,0.2311473532303948
volatility_20,10,0.25341264292652255,0.2296743527964561,-0.091336757748113,0.018881074215104415,0.01513222694026914,0.003748847274835274,0.005221932114882507,0.2296743527964561
breakout_high_20,10,-0.21500006451228695,-0.2292384789531497,0.08471992009661944,-0.053208049696873164,-0.03208621453491958,-0.02112183516195358,0.004699738903394256,0.2292384789531497
amihud_illiq_20,3,0.1959487175627556,0.22827083586207858,-0.08256298441365721,0.011024794734942141,0.009130236922509784,0.0018945578124323573,0.005202913631633715,0.22827083586207858
m5_down_volume_pressure,20,0.17566593674347802,0.22807861660859233,-0.054599755612633805,0.000774297107562021,0.0005935605258758954,0.00018073658168612562,0.8446194225721785,0.22807861660859233
breakout_high_prior_20,10,-0.20688474335194243,-0.22749235707578866,0.08331404182807696,-0.052765918960604896,-0.030830820931144802,-0.021935098029460094,0.005221932114882507,0.22749235707578866
bollinger_width,10,0.2746593583215844,0.22726847807919967,-0.13054025549113715,0.1467823514726567,0.10348767182349958,0.04329467964915712,0.004699738903394256,0.22726847807919967
amihud_illiq_10,3,0.1792505119967516,0.22592220689099368,-0.07011208321564313,0.011263191161646143,0.009096950815078964,0.0021662403465671793,0.0026014568158168575,0.22592220689099368
downside_return_sum_20,10,-0.24025469610194503,-0.22589613462210514,0.07205353242033793,-0.14108228031840264,-0.10713721063485462,-0.03394506968354802,0.004699738903394256,0.22589613462210514
atr_ratio_10,10,0.2626355539032339,0.2254603633588259,-0.07277702418635715,0.022724736223636077,0.018541718207151107,0.00418301801648497,0.0020887728459530026,0.2254603633588259
atr_ratio_20_60,10,0.19071871204153118,0.22531348467245937,-0.09575048670732836,1.09135518276774,0.9901156690347758,0.10123951373296414,0.015143603133159269,0.22531348467245937
amihud_illiq_5,3,0.16946001214108605,0.2242194876939849,-0.07205261377382954,0.011516244838475418,0.008947921671209242,0.0025683231672661757,0.0015608740894901144,0.2242194876939849
m5_volume_profile_std_5,5,0.3175653345039665,0.22122460151202156,-0.12619732155099275,0.037667334077928834,0.029356481187990165,0.008310852889938668,0.8390625,0.22122460151202156
m5_last30_volume_share_mean_5,10,-0.25197055850721717,-0.22053397813093684,0.11366807207665112,0.13082341932630767,0.13553616513342429,-0.004712745807116614,0.8412532637075718,0.22053397813093684
m5_morning_return_std_5,5,0.20324117913758855,0.21908420286322491,-0.07874918598810482,0.018347153576343526,0.013960333744984777,0.004386819831358749,0.8390625,0.21908420286322491
m5_large_up_count,10,0.16431777857207008,0.21861151058928538,-0.08892141325111248,3.5258620689655173,2.2065217391304346,1.3193403298350828,0.8402088772845953,0.21861151058928538
atr_ratio_5,5,0.23452780017107253,0.21856287248839548,-0.08051484650698476,0.02329730487160593,0.018479143221911923,0.004818161649694008,0.0010416666666666667,0.21856287248839548
m5_open_30m_range,10,0.2568102769571546,0.2182184013736548,-0.05776537978105147,0.020145941441736228,0.015140694764288597,0.005005246677447631,0.8402088772845953,0.2182184013736548
downside_volatility_20,5,0.18236287226619843,0.21640342414541747,-0.05631433219112521,0.011866857502731473,0.009507812338174416,0.002359045164557056,0.0046875,0.21640342414541747
m5_close_30m_range,20,0.13356883145643514,0.21607459582996255,-0.009482087901618261,0.005723291696644514,0.004660878697835798,0.0010624129988087158,0.8446194225721785,0.21607459582996255
atr_ratio_20,10,0.2585600847554871,0.21469684284327395,-0.08215422467584513,0.02209016761292709,0.018460931067105033,0.003629236545822055,0.004699738903394256,0.21469684284327395
m5_intraday_max_return,10,0.16979952696826064,0.21378537573549183,-0.1050904628892151,0.0173955581260321,0.010933588664648405,0.006461969461383695,0.8402088772845953,0.21378537573549183
drawdown_20,10,-0.19627035913587243,-0.21321006174697898,0.07558464352646649,-0.04775539872253344,-0.028775301735868907,-0.018980096986664533,0.004699738903394256,0.21321006174697898
m5_last30_return_std_5,5,0.11605273789680534,0.21281326851594817,-0.0815110962754036,0.004670502517645913,0.003514555012730777,0.0011559475049151362,0.8390625,0.21281326851594817
m5_bar_range_max,20,0.2604277661781202,0.21177143111774457,-0.08166714192472485,0.012760513570588009,0.009581922928326866,0.003178590642261142,0.8446194225721785,0.21177143111774457
bollinger_width,5,0.22309676091685635,0.21156394332681422,-0.07975717040943672,0.1467607824466785,0.11242010023691952,0.034340682209758985,0.0046875,0.21156394332681422
