date,trade_date,target_start_date,target_end_date,close,fwd_ret_1d,target_ret,target_up,target_trade,target_big_up,target_big_down,target_clean_direction,target_future_drawdown,target_big_up_label,target_big_down_label,target_avoid_loss_label,target_reduce_position_worth_label,horizon,model_name,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,pred_clean_direction_prob,pred_future_drawdown,pred_big_up_label_prob,pred_big_down_label_prob,pred_avoid_loss_label_prob,pred_reduce_position_worth_label_prob,pred_up,pred_trade,pred_big_up,pred_big_down,pred_clean_direction,walk_forward_period,chunk_start,train_samples,train_latest_target_end_date,feature_top_k,selected_feature_count,selected_feature_count_up,selected_feature_count_trade,selected_feature_count_big_up,selected_feature_count_big_down,selected_feature_count_clean_direction,clean_direction_train_samples,validation_fold,ret_5,ret_20,ret_60,ma_ratio_20,ma_ratio_60,ma_spread_20_60,volatility_20,volatility_60,volatility_ratio_5_20,volatility_ratio_20_60,drawdown_20,drawdown_60,drawdown_120,drawdown_speed_20,trend_regime_score,high_volatility_regime,drawdown_regime,severe_drawdown_regime,crash_risk_score,m5_available,strategy,final_position,signal,turnover,transaction_cost,strategy_return,buy_hold_return,active_return,equity,buy_hold_equity,drawdown,buy_hold_drawdown,dataset_period
2023-07-17,2023-07-18,2023-07-18,2023-08-14,2814.35,0.0029562776484801656,0.005553680245882653,1.0,1.0,0.0,0.0,,-0.004004477055092659,0.0,0.0,1.0,0.0,20,ExtraTrees,0.003966634069405204,0.4280525898396227,0.4319913079177929,0.35507330502796386,0.5824148533282234,-0.22734154830025954,0.35706615588954294,-0.037159460614267906,0.35507330502796386,0.5824148533282234,0.6232698182634763,0.5669660490225311,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.01565150235656687,0.0662032126079708,0.103186456091662,0.03647809211575437,0.08140222058220403,0.04334305646031211,0.010540311701803062,0.011131583716075547,0.7998569088125954,0.9468833879029624,0.0,0.0,0.0,0.001304692568298127,1.0,0.0,0.0,0.0,0.24255032038484708,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.0029562776484801656,0.0029562776484801656,0.0,102771.47694380222,102771.47694380222,0.0,0.0,2023H2
2023-07-18,2023-07-19,2023-07-19,2023-08-15,2822.67,0.0033549795052201237,0.0002692486192150678,1.0,0.0,0.0,0.0,,-0.006940237434769236,0.0,0.0,1.0,1.0,20,ExtraTrees,0.003168043250178275,0.43281007744214534,0.4281651123828384,0.3413871063536665,0.6111415910551956,-0.26975448470152913,0.34685784488538585,-0.038346713168355646,0.3413871063536665,0.6111415910551956,0.6444440320328593,0.5716238282109259,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.008770142916876722,0.06597909333977858,0.1178094234866427,0.03620858237398816,0.08253674570637215,0.044709302857002475,0.010540517791520897,0.01102293084107598,0.7204100369786083,0.9562355006567388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22666094601804965,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.0033549795052201237,0.0033549795052201237,0.0,103116.27314266989,103116.27314266989,0.0,0.0,2023H2
2023-07-19,2023-07-20,2023-07-20,2023-08-16,2832.14,-0.00806810397791069,-0.009024977578791948,0.0,0.0,0.0,0.0,0.0,-0.010260792192476331,0.0,0.0,1.0,1.0,20,ExtraTrees,0.003544008219606506,0.42898550332517416,0.44106553016292727,0.31880742796882217,0.6192246951952682,-0.30041726722644607,0.32433449615730126,-0.03549021051294557,0.31880742796882217,0.6192246951952682,0.6546258418921934,0.5709317091099719,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.02370082810122276,0.07487712773023136,0.12896783477702778,0.03593363475853728,0.08392709725889458,0.046328703779894065,0.010362425122707807,0.010967842215103154,0.21589420723222644,0.9448007109765252,0.0,0.0,0.0,0.011278961306301016,1.0,0.0,0.0,0.0,0.1245200347856119,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,-0.00806810397791069,-0.00806810397791069,0.0,102284.32032914019,102284.32032914019,-0.00806810397791069,-0.00806810397791069,2023H2
2023-07-20,2023-07-21,2023-07-21,2023-08-17,2809.29,-0.002210522943519533,0.02178130417294044,1.0,1.0,0.0,0.0,,-0.002210522943519533,0.0,0.0,0.0,0.0,20,ExtraTrees,0.0016373405652960395,0.4237211877224511,0.43078705645541526,0.3314875455162247,0.6321925297504457,-0.300704984234221,0.3184860904168273,-0.03767815846069977,0.3314875455162247,0.6321925297504457,0.6531315415372222,0.5770178484604533,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.006881498446286605,0.07668634064080959,0.13262751327444344,0.02382899119521431,0.07293048084907938,0.04795868262779335,0.010255110459709194,0.010909339233292828,0.5196853584014309,0.9400303941794131,-0.00806810397791069,-0.00806810397791069,-0.00806810397791069,-0.005194756420792146,1.0,0.0,0.0,0.0,0.1864751869295384,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,-0.002210522943519533,-0.002210522943519533,0.0,102058.21849229033,102058.21849229033,-0.010260792192476331,-0.010260792192476331,2023H2
2023-07-21,2023-07-24,2023-07-24,2023-08-18,2803.08,0.007777159410363055,0.0192859283359732,1.0,1.0,0.0,0.0,,0.0012486265108380135,0.0,0.0,0.0,0.0,20,ExtraTrees,0.004208250884335149,0.428144531951489,0.4319810798059522,0.32293757653398897,0.5830400615544727,-0.2601024850204838,0.29634958596642275,-0.037771212847591384,0.32293757653398897,0.5830400615544727,0.6520589270472569,0.5926562837757766,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.0007926136972213893,0.08253358925143961,0.163340264203095,0.017602976267620196,0.0678834611618162,0.04941070935013925,0.01000900152247302,0.01015750982509348,0.5310986203615419,0.9853794576448669,-0.010260792192476331,-0.010260792192476331,-0.010260792192476331,-0.010260792192476331,1.0,0.0,0.0,0.0,0.1703490000351689,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.007777159410363055,0.007777159410363055,0.0,102851.94152664255,102851.94152664255,-0.002563432598670534,-0.002563432598670534,2023H2
2023-07-24,2023-07-25,2023-07-25,2023-08-21,2824.88,0.01765030726968919,0.012195208292033577,1.0,1.0,0.0,0.0,,-0.0064781512843024025,0.0,0.0,1.0,0.0,20,ExtraTrees,0.0034143731000220606,0.40873104789591097,0.4264710157126494,0.3362400893899003,0.5488761210536804,-0.21263603166378015,0.30370482749293154,-0.03744736665452525,0.3362400893899003,0.5488761210536804,0.6619508609623659,0.5571302734999662,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.0037415388988577547,0.10545511465915314,0.1708764745380542,0.020525168303489938,0.0733788520184655,0.051790671466573235,0.009182213900029757,0.010178102847539732,0.6614594491526804,0.9021537743892317,-0.0025634325986708673,-0.0025634325986708673,-0.0025634325986708673,-0.0025634325986708673,1.0,0.0,0.0,0.0,0.17410193856735998,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.01765030726968919,0.01765030726968919,0.0,104667.30989787189,104667.30989787189,0.0,0.0,2023H2
2023-07-25,2023-07-26,2023-07-26,2023-08-22,2874.74,0.004383005071763035,-0.011207970112079635,0.0,0.0,0.0,0.0,0.0,-0.02370997029296562,0.0,0.0,1.0,1.0,20,ExtraTrees,0.003985581775235503,0.4282783217313941,0.4622587019194244,0.31536894396799103,0.5366591372412415,-0.22129019327325045,0.3354419320607229,-0.03530216991312097,0.31536894396799103,0.5366591372412415,0.6094093426452236,0.5477769231755365,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.018447073161226735,0.0914965676447359,0.2197433852107058,0.034036733745450576,0.08875342238774153,0.05291561397833333,0.007596878763904736,0.009779357244921228,1.2910371361004025,0.776828023932766,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29950478943717024,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.004383005071763035,0.004383005071763035,0.0,105126.06724800206,105126.06724800206,0.0,0.0,2023H2
2023-07-26,2023-07-27,2023-07-27,2023-08-23,2887.34,-0.0036019311892607764,-0.023506064405300453,0.0,0.0,0.0,1.0,0.0,-0.027970381042759174,0.0,1.0,1.0,1.0,20,ExtraTrees,0.002973607511201959,0.4130156343256056,0.4537678382609819,0.3190266781779422,0.5289781202185749,-0.2099514420406327,0.32744021197560047,-0.03636263194666167,0.3190266781779422,0.5289781202185749,0.6106245355818509,0.5600095476523144,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.019490561907250514,0.0920430563014849,0.2058015318182198,0.03404312315160141,0.09013441331315097,0.05424463342553065,0.007595850564336136,0.009639003390034418,1.2914375814758652,0.7880327723703616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2995848785122628,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,-0.0036019311892607764,-0.0036019311892607764,0.0,104747.41038757715,104747.41038757715,-0.0036019311892607764,-0.0036019311892607764,2023H2
2023-07-27,2023-07-28,2023-07-28,2023-08-24,2876.94,0.0050470291351227825,-0.02702176618212415,0.0,0.0,0.0,1.0,0.0,-0.02702176618212415,0.0,1.0,1.0,1.0,20,ExtraTrees,0.001416886854260559,0.40733956098542623,0.4498552682386174,0.2870927830894936,0.5635771901509559,-0.27648440706146227,0.30062898526255666,-0.037595287518482734,0.2870927830894936,0.5635771901509559,0.6273901550209439,0.6004799982931458,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.024080817573123525,0.06943876526872206,0.19750753400709287,0.02688371236376641,0.08297423224202372,0.05462207570625832,0.007142294102055621,0.009678521641107319,1.2001560306248653,0.7379530022147548,-0.0036019311892607764,-0.0036019311892607764,-0.0036019311892607764,0.004466172788649914,1.0,0.0,0.0,0.0,0.28294943737723016,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.0050470291351227825,0.0050470291351227825,0.0,105276.07361963192,105276.07361963192,0.0,0.0,2023H2
2023-07-28,2023-07-31,2023-07-31,2023-08-25,2891.46,0.0068200839714192,-0.048266273785561586,0.0,0.0,0.0,1.0,0.0,-0.048266273785561586,0.0,1.0,1.0,1.0,20,ExtraTrees,0.00044987002949898653,0.3979810894558622,0.43901401923815003,0.3002825848618655,0.540900435404884,-0.24061785054301849,0.3064536273778335,-0.03839942748316516,0.3002825848618655,0.540900435404884,0.6184998182377863,0.5928208212875951,0,0,0,1,0,2023H2,2023-07-03,1539,2023-06-30,50,50,50,50,50,50,50,986,2023H2,0.031529603150819874,0.05825903640915264,0.17146630797653395,0.029142779652909123,0.08555762886505702,0.05481732013042406,0.006551831455138891,0.009141300754887064,1.1681175480234274,0.7167285740638379,0.0,0.0,0.0,0.010260792192476331,1.0,0.0,0.0,0.0,0.2758213546190904,0.0,ml_conservative_full_participation_enhancement,1.0,CONSERVATIVE,0.0,0.0,0.0068200839714192,0.0068200839714192,0.0,105994.06528189912,105994.06528189912,0.0,0.0,2023H2
