model_name,horizon,target_name,validation_auc,test_auc,validation_logloss,test_logloss,logloss_gap,validation_return_corr,test_return_corr,validation_score,test_score,score_gap,auc_gap,validation_selection_score,test_selection_score,is_validation_prediction_best,is_final_strategy_used,final_strategy_name,stability_comment
mlp_small_fs30,20,target_big_down,0.9183583406884378,0.3245418326693227,2.0185164613865845,1.9374501094576888,0.08106635192889566,,,0.9183583406884378,0.3245418326693227,0.5938165080191151,0.5938165080191151,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
mlp_small_fs30,20,target_big_up,0.8829130211013896,0.3467079098541759,0.5957722485582215,2.455008520815683,-1.8592362722574614,,,0.8829130211013896,0.3467079098541759,0.5362051112472137,0.5362051112472137,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
mlp_small_fs30,20,target_ret,,,,,,0.3943657948486369,-0.0258107709852635,0.3943657948486369,-0.0258107709852635,0.4201765658339004,,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
mlp_small_fs30,20,target_clean_direction,0.8977272727272727,0.5122830003275467,0.8644569993049531,2.3984115236627392,-1.5339545243577861,,,0.8977272727272727,0.5122830003275467,0.385444272399726,0.385444272399726,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
mlp_small_fs30,20,target_up,0.8171936758893281,0.4383849980864906,0.8193912326451306,1.8900132601091,-1.0706220274639695,,,0.8171936758893281,0.4383849980864906,0.3788086778028375,0.3788086778028375,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
mlp_small_fs30,20,target_trade,0.8352380952380952,0.4992651561543172,1.2525155883195138,1.9605249914720413,-0.7080094031525275,,,0.8352380952380952,0.4992651561543172,0.335972939083778,0.335972939083778,0.7995474406942139,0.4150501568449175,True,False,,validation overfit / weak test generalization
LightGBMRegularized,20,target_big_down,0.9011473962930272,0.426613545816733,0.4747704738205778,0.6624834236844751,-0.1877129498638973,,,0.9011473962930272,0.426613545816733,0.4745338504762942,0.4745338504762942,0.7243261098183457,0.4357188598482635,False,False,,validation overfit / weak test generalization
XGBoostRegularized,20,target_big_down,0.8949691085613416,0.4279681274900398,0.4292315131532219,0.6832915608188604,-0.25406004766563856,,,0.8949691085613416,0.4279681274900398,0.4670009810713018,0.4670009810713018,0.7417961594144882,0.4353679897401548,False,False,,validation overfit / weak test generalization
GradientBoosting,20,target_big_down,0.9031332744924978,0.437609561752988,0.4986738086504957,0.5806651161625126,-0.08199130751201689,,,0.9031332744924978,0.437609561752988,0.4655237127395098,0.4655237127395098,0.7145065892214683,0.4349734323017783,False,False,,validation overfit / weak test generalization
XGBoost,20,target_ret,,,,,,0.3958529098858621,-0.0622411750556307,0.3958529098858621,-0.0622411750556307,0.4580940849414928,,0.7302540784117754,0.4402180302081171,False,False,,validation overfit / weak test generalization
XGBoost,20,target_big_down,0.8945278022947927,0.4449402390438247,0.4765500520181253,0.713613371861058,-0.23706331984293272,,,0.8945278022947927,0.4449402390438247,0.449587563250968,0.449587563250968,0.7302540784117754,0.4402180302081171,False,False,,validation overfit / weak test generalization
LightGBM,20,target_big_down,0.9068843777581642,0.4675298804780877,0.4798906723246616,0.6611201210101314,-0.1812294486854698,,,0.9068843777581642,0.4675298804780877,0.43935449728007653,0.43935449728007653,0.723970758152414,0.4351256514160179,False,False,,validation overfit / weak test generalization
HistGradientBoosting,20,target_big_down,0.8812886142983232,0.4620717131474103,0.5578276229555691,0.6960886734291305,-0.1382610504735614,,,0.8812886142983232,0.4620717131474103,0.41921690115091287,0.41921690115091287,0.6630351625712,0.4223656753515874,False,False,,validation overfit / weak test generalization
ExtraTreesDeep,20,target_big_down,0.8936451897616946,0.4760956175298805,0.6348434091579658,0.668636490190369,-0.033793081032403194,,,0.8936451897616946,0.4760956175298805,0.4175495722318141,0.4175495722318141,0.6946835907693333,0.4315244644580829,False,False,,validation overfit / weak test generalization
mlp_tiny,20,target_big_down,0.8256840247131509,0.4126693227091633,1.468601059396755,1.0549316119714225,0.4136694474253324,,,0.8256840247131509,0.4126693227091633,0.41301470200398765,0.41301470200398765,0.6941003629941498,0.4066841650850878,False,False,,validation overfit / weak test generalization
RandomForestDeep,20,target_big_down,0.8892321270962048,0.4866932270916335,0.5941364495429812,0.7155863494085202,-0.121449899865539,,,0.8892321270962048,0.4866932270916335,0.4025389000045713,0.4025389000045713,0.7061171094132181,0.44148046955079,False,False,,validation overfit / weak test generalization
GradientBoosting,20,target_trade,0.8407936507936508,0.4407225964482547,0.5889607485987445,0.674477586927338,-0.08551683832859347,,,0.8407936507936508,0.4407225964482547,0.4000710543453961,0.4000710543453961,0.7145065892214683,0.4349734323017783,False,False,,validation overfit / weak test generalization
ExtraTrees,20,target_big_down,0.8495145631067962,0.4572908366533864,0.9102937701651316,0.7646819828970789,0.14561178726805268,,,0.8495145631067962,0.4572908366533864,0.3922237264534098,0.3922237264534098,0.659248538152742,0.4542656038895428,False,False,,validation overfit / weak test generalization
RandomForestDeep,20,target_trade,0.827936507936508,0.4359461114513167,0.5866868713867739,0.7931381878139185,-0.20645131642714465,,,0.827936507936508,0.4359461114513167,0.3919903964851913,0.3919903964851913,0.7061171094132181,0.44148046955079,False,False,,validation overfit / weak test generalization
XGBoostRegularized,20,target_trade,0.8463492063492063,0.4565217391304347,0.6325528379205071,0.8323763004600996,-0.1998234625395925,,,0.8463492063492063,0.4565217391304347,0.3898274672187716,0.3898274672187716,0.7417961594144882,0.4353679897401548,False,False,,validation overfit / weak test generalization
