strategy_name,model_name,horizon,main_signal,total_return,excess_return_vs_buy_hold,max_drawdown,drawdown_improvement_vs_buy_hold,sharpe,calmar,average_position,total_turnover,missed_upside,avoided_downside,outperforms_buy_hold,reduces_max_drawdown,prediction_validation_score,prediction_test_score,prediction_score_gap,strategy_utility_comment
ml_risk_budget_enhancement,LightGBM,5,risk_budget: pred_up_prob + pred_big_up_prob + pred_ret,1.1134946344539691,0.0047539510738388,-0.1726028201054377,0.0,2.423439086333103,4.978558348057691,0.97640625,4.999999999999999,0.0659418492472793,0.0693750283700898,True,False,0.5204398138141483,0.4281384859848807,0.09230132782926759,current main strategy; LightGBM 5D selected by strategy-layer utility
ml_early_stress_risk_budget,RandomForest,5,early_stress_score + pred_up_prob + pred_big_up_prob,1.1081528628313395,-0.0005878205487905,-0.1706602050167892,0.0019426150886485138,2.349698497040855,5.047015859785258,0.98846875,3.12,0.026652720777671,0.0283911265500832,False,True,0.4772509032507559,0.5022882563710257,-0.02503735312026978,strategy improves drawdown but may sacrifice return
model_utility_RidgeClassifier_risk_budget_5d,RidgeClassifier,5,risk_budget baseline: pred_up_prob + pred_big_up_prob + pred_ret,1.0720094484395766,-0.03673123494055375,-0.1726028201054377,0.0,2.3132900127920264,4.893758464788434,0.9853125,3.5999999999999996,0.041991558730635946,0.0262630063028371,False,False,0.5996846229341923,0.4752406026166163,0.12444402031757601,linear baseline is useful as stability control but does not beat buy-and-hold
model_utility_LogisticRegressionStrongL2_risk_budget_5d,LogisticRegressionStrongL2,5,risk_budget baseline: pred_up_prob + pred_big_up_prob + pred_ret,1.0694635638382288,-0.039277119541901495,-0.1726028201054377,0.0,2.315213638795541,4.883415939356693,0.985,2.8,0.04786691341399333,0.029869067912926484,False,False,0.5845909887088439,0.4732898777691721,0.11130111093967177,linear baseline is useful as stability control but does not beat buy-and-hold
model_utility_ElasticNet_risk_budget_5d,ElasticNet,5,risk_budget baseline: pred_up_prob + pred_big_up_prob + pred_ret,1.0621731971099293,-0.04656748627020102,-0.1726028201054377,0.0,2.3017308021835077,4.853784226344834,0.9907812500000001,2.5999999999999996,0.04309831834910508,0.02149185180040965,False,False,0.5802573248528965,0.4936190728703079,0.08663825198258862,linear baseline is useful as stability control but does not beat buy-and-hold
ml_upside_participation_enhancement,mlp_small_fs30,20,pred_big_up_prob,1.0443654096201112,-0.0643752737600191,-0.1726028201054378,-8.326672684688674e-17,2.2730751244694143,4.78131060494926,0.9871875,1.7999999999999996,0.0508196305766917,0.0198364691629383,False,False,0.7995474406942139,0.4150501568449175,0.38449728384929643,MLP validation prediction advantage did not translate into robust test strategy utility
model_utility_LogisticRegression_risk_budget_5d,LogisticRegression,5,risk_budget baseline: pred_up_prob + pred_big_up_prob + pred_ret,1.0423917750591825,-0.06634890832094786,-0.1726028201054376,1.1102230246251565e-16,2.2749316521503244,4.773270124092089,0.9854687500000001,4.0,0.053840571591348745,0.023880564644330915,False,True,0.5635804550588884,0.4804733026591868,0.08310715239970162,linear baseline is useful as stability control but does not beat buy-and-hold
