strategy,strategy_role,total_return,excess_return_vs_buy_hold,max_drawdown,drawdown_improvement_vs_buy_hold,sharpe,calmar,average_position,minimum_position,maximum_position,days_below_full_exposure,total_turnover,total_transaction_cost,missed_upside,avoided_downside,avoided_minus_missed_upside,net_timing_contribution,benchmark_clone,outperforms_buy_hold,reduces_max_drawdown
buy_hold,benchmark,1.1087406833801303,0.0,-0.1726028201054377,0.0,2.3255626278329213,5.042678705070166,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
ml_risk_budget_enhancement,original_risk_budget,1.1134946344539691,0.0047539510738388024,-0.1726028201054377,0.0,2.423439086333103,4.978558348057691,0.9764062500000001,0.8,1.0,46,4.999999999999999,0.004999999999999999,0.06594184924727939,0.06937502837008981,0.003433179122810423,-0.0015668208771895762,False,True,False
ml_early_stress_risk_budget,original_early_stress,1.1081528628313397,-0.0005878205487905852,-0.17066020501678925,0.0019426150886484583,2.349698497040855,5.047015859785258,0.98846875,0.85,1.0,26,3.12,0.0031200000000000004,0.026652720777671057,0.028391126550083273,0.001738405772412216,-0.0013815942275877844,False,False,True
ml_external_risk_budget_enhancement_index_only,external_risk_budget_ablation,0.9940623719660027,-0.11467831141412765,-0.16526912790041004,0.007333692205027664,2.3695526726729823,4.6302652657616115,0.937140625,0.6400000000000001,1.0,135,8.995,0.008995,0.19305806747894771,0.13729904021900508,-0.05575902725994264,-0.06475402725994264,False,False,True
ml_external_risk_budget_enhancement_index_margin,external_risk_budget_ablation,0.9919156809517322,-0.1168250024283981,-0.1548598681698823,0.017742951935555418,2.425625407634936,4.9318342533026875,0.9297968749999999,0.6400000000000001,1.0,138,10.294999999999998,0.010294999999999999,0.21386368001657918,0.15610769555276371,-0.05775598446381547,-0.06805098446381547,False,False,True
ml_external_risk_budget_enhancement_index_shibor,external_risk_budget_ablation,0.9878344219339645,-0.12090626144616579,-0.16644216977733928,0.006160650328098427,2.3621080148997553,4.571538283628383,0.9353281249999998,0.6400000000000001,1.0,137,9.034999999999998,0.009034999999999998,0.1985040566982559,0.1395544291098616,-0.05894962758839431,-0.06798462758839431,False,False,True
ml_external_risk_budget_enhancement_all,external_risk_budget_ablation,0.9883280596353701,-0.12041262374476025,-0.15492820500782212,0.017674615097615587,2.421968973473564,4.913508821204541,0.9281406249999999,0.6400000000000001,1.0,140,10.034999999999997,0.010034999999999999,0.21826198462617247,0.15836308444362018,-0.059898900182552284,-0.06993390018255229,False,False,True
ml_external_early_stress_risk_budget_index_only,external_early_stress_ablation,0.9937074490167002,-0.11503323436343016,-0.16435587336017854,0.008246946745259165,2.309305995604494,4.680715970171521,0.9481984375,0.7040000000000001,1.0,140,7.991000000000001,0.007991000000000002,0.15367780106677065,0.09894466473073546,-0.05473313633603519,-0.06272413633603519,False,False,True
ml_external_early_stress_risk_budget_all,external_early_stress_ablation,0.9932405860648401,-0.1155000973152902,-0.14797335014715285,0.024629469958284855,2.3989259352453183,5.196725488750073,0.93549375,0.7040000000000001,1.0,145,9.007000000000001,0.009007,0.19097013037621569,0.13347765253277138,-0.0574924778434443,-0.0664994778434443,False,False,True
ml_external_soft_confirm_risk_budget,external_soft_confirm_risk_budget,1.0725296392315324,-0.03621104414859788,-0.17334741521373453,-0.0007445951082968305,2.3913140423661425,4.767262546356986,0.9709875,0.7200000000000001,1.0,68,6.079999999999998,0.006079999999999999,0.09757582649690791,0.0813994478495513,-0.016176378647356604,-0.022256378647356603,False,False,False
ml_external_soft_confirm_risk_budget_index_only,external_soft_confirm_risk_budget,1.0918606128824129,-0.016880070497717448,-0.17260282010543782,-1.1102230246251565e-16,2.410591855977532,4.87853364439416,0.9727500000000001,0.68,1.0,60,6.079999999999998,0.006079999999999999,0.08718982362264083,0.0806700521272162,-0.0065197714954246255,-0.012599771495424624,False,False,False
ml_external_soft_confirm_early_stress,external_soft_confirm_early_stress,1.0803512244285827,-0.028389458951547653,-0.17134164163459087,0.0012611784708468354,2.3319904635515774,4.884916712758834,0.98562375,0.8096,1.0,48,3.4008,0.0034008,0.04705618981598442,0.0348467034563412,-0.012209486359643217,-0.015610286359643216,False,False,True
ml_external_soft_confirm_early_stress_index_only,external_soft_confirm_early_stress,1.0937897407555615,-0.014950942624568864,-0.17066020501678925,0.0019426150886484583,2.3315913050861226,4.981110229959272,0.9907887500000001,0.85,1.0,27,2.7752,0.0027752000000000002,0.028738932636674316,0.02318923387615278,-0.005549698760521537,-0.008324898760521537,False,False,True
ml_external_soft_lite_risk_budget,external_soft_lite_risk_budget,1.1007005310293771,-0.008040152350753171,-0.1727889741978489,-0.00018615409241118375,2.412901937854607,4.915297122287183,0.9770437500000002,0.76,1.0,63,5.279999999999999,0.005279999999999999,0.07383116165271847,0.07115092451531896,-0.0026802371373995104,-0.00796023713739951,False,False,False
ml_external_soft_lite_risk_budget_index_only,external_soft_lite_risk_budget,1.1061039897591205,-0.0026366936210098224,-0.1726028201054377,0.0,2.419165150118913,4.945587983549462,0.9770937500000001,0.7360000000000001,1.0,58,5.4239999999999995,0.005424,0.07199039645353067,0.07208851627677923,9.811982324856028e-05,-0.00532588017675144,False,False,False
ml_external_soft_lite_early_stress,external_soft_lite_early_stress,1.0928954048158515,-0.015845278564278864,-0.17083056901425686,0.0017722510911808431,2.331233667120876,4.972499698900602,0.9916324999999999,0.85,1.0,46,2.6752000000000007,0.002675200000000001,0.027978651507075163,0.021863949946695063,-0.0061147015603801,-0.008789901560380101,False,False,True
ml_external_soft_lite_early_stress_index_only,external_soft_lite_early_stress,1.1007530962905085,-0.007987587089621773,-0.17066020501678947,0.0019426150886482363,2.337896542508109,5.013172988707621,0.99225375,0.85,1.0,27,2.6176000000000004,0.0026176000000000003,0.023420576286597605,0.021192090369085138,-0.0022284859175124676,-0.004846085917512468,False,False,True
