date,trade_date,fwd_ret_1d,target_ret,final_position,position_gap,position_gap_return,turnover,turnover_cost,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,target_big_up,realized_positive_return,realized_weak_return
2026-03-20,2026-03-23,-0.0639879617726489,-0.0328545660842589,0.88,-0.12,0.007678555412717868,0.0,0.0,-0.0283408141701586,0.7187153618603834,0.7140134453993746,0.6628445670265875,0.3666248589793372,0.2962197080472502,0.0,-0.0328545660842589,-0.0639879617726489
2025-08-20,2025-08-21,0.0057492219342909,-0.0563706978500644,1.0,0.0,0.0,0.0,0.0,0.0062687968355251,0.5504008466077397,0.6576328749989435,0.8111377196340235,0.292196846888926,0.5189408727450975,0.0,0.0057492219342909,-0.0563706978500644
2025-08-21,2025-08-22,-0.0044847186166804,-0.052787290653788,1.0,0.0,-0.0,0.0,0.0,0.0113255617261508,0.540510234753179,0.6594970062372483,0.7961262591163898,0.2202223867973183,0.5759038723190715,0.0,-0.0044847186166804,-0.052787290653788
2026-04-02,2026-04-03,-0.0368132865268899,0.0240459595415389,0.88,-0.12,0.0044175943832267875,0.0,0.0,0.0153144218122077,0.6066368118595412,0.6489481297794867,0.5840464892217441,0.377211461022912,0.206835028198832,0.0,0.0240459595415389,-0.0368132865268899
2025-08-26,2025-08-27,-0.0366240299121138,-0.030437310479519,1.0,0.0,-0.0,0.0,0.0,0.0067083716269864,0.5423174285589447,0.648590423720181,0.8051278672089213,0.2413821547101358,0.5637457124987855,0.0,-0.030437310479519,-0.0366240299121138
2025-08-22,2025-08-25,0.0026580827663569,-0.0333357719413759,1.0,0.0,0.0,0.0,0.0,0.0090608071628057,0.5895045229425405,0.688290119736866,0.8228552838996392,0.2543137794834911,0.5685415044161481,0.0,0.0026580827663569,-0.0333357719413759
2025-11-12,2025-11-13,0.0091112095622949,-0.0277900841757622,1.0,0.0,0.0,0.0,0.0,0.0314351546909218,0.8017214938348013,0.7556118660893787,0.5328780604365096,0.1358815329782099,0.3969965274582997,0.0,0.0091112095622949,-0.0277900841757622
2026-03-02,2026-03-03,-0.0265077352676852,0.0109181752043481,1.0,0.0,-0.0,0.0,0.0,0.0184268080327655,0.6879824318322818,0.6208521834317512,0.5364791592898253,0.3517611600203666,0.1847179992694586,0.0,0.0109181752043481,-0.0265077352676852
2025-09-02,2025-09-03,-0.025995278778867,0.0406092223426328,0.88,-0.12,0.0031194334534640398,0.0,0.0,-0.0263237034320641,0.6431735191031187,0.6949305859413448,0.5961238415024853,0.2572320375279449,0.3388918039745404,1.0,0.0406092223426328,-0.025995278778867
2025-08-13,2025-08-14,-0.0254857719041596,-0.0085029712462704,1.0,0.0,-0.0,0.0,0.0,0.0250185748030286,0.6918029758202153,0.8313043898337704,0.6020444320471302,0.257369545007898,0.3446748870392322,0.0,-0.0085029712462704,-0.0254857719041596
2025-09-11,2025-09-12,-0.0037177819467777,-0.0249785921127458,0.88,-0.12,0.00044613383361332396,0.0,0.0,0.0132462757965452,0.6949665750658369,0.7682175647328049,0.5541262956184454,0.1907461888889456,0.3633801067294998,0.0,-0.0037177819467777,-0.0249785921127458
2025-08-19,2025-08-20,0.007426842567008,-0.0239908824807522,1.0,0.0,0.0,0.0,0.0,0.0115832663760638,0.5829294128731379,0.6840644747178501,0.8342668655696893,0.2653337475156651,0.5689331180540242,0.0,0.007426842567008,-0.0239908824807522
2025-09-09,2025-09-10,0.0062285376354418,-0.0236551908069433,0.88,-0.12,-0.0007474245162530159,0.0,0.0,0.0080301736892852,0.6394284558811165,0.6648482609361566,0.5620909095605645,0.2235714852916956,0.3385194242688689,0.0,0.0062285376354418,-0.0236551908069433
2026-04-08,2026-04-09,-0.0209511817258296,-0.0022901823210571,0.88,-0.12,0.002514141807099552,0.0,0.0,0.0308642855358502,0.6772292664642988,0.7328890847662262,0.6315781367193174,0.28974399226323,0.3418341444560873,0.0,-0.0022901823210571,-0.0209511817258296
2026-04-01,2026-04-02,-0.0209152631308623,0.0110094213772395,0.88,-0.12,0.002509831575703476,0.0,0.0,0.0185652137996409,0.742668144041319,0.731833005832943,0.6106778591271678,0.2500655262262869,0.3606123329008808,0.0,0.0110094213772395,-0.0209152631308623
2025-09-17,2025-09-18,-0.0201408680667256,-0.0190238169523419,0.88,-0.12,0.002416904168007072,0.0,0.0,0.0166589610696636,0.7272734736828713,0.7748586768366783,0.5319722830573113,0.1563523078337531,0.3756199752235581,0.0,-0.0190238169523419,-0.0201408680667256
2025-04-15,2025-04-16,-0.0199346800532236,0.0168767388411759,0.88,-0.12,0.0023921616063868317,0.0,0.0,0.00838641322261,0.7426269186655029,0.7226137999221218,0.6064784435383591,0.1588762502331332,0.4476021933052259,0.0,0.0168767388411759,-0.0199346800532236
2025-09-12,2025-09-15,0.000616748325676,-0.0175231977744571,0.88,-0.12,-7.400979908112e-05,0.0,0.0,0.0146099042108855,0.700651975168236,0.7132402259558467,0.5471967238511187,0.1932619600997743,0.3539347637513443,0.0,0.000616748325676,-0.0175231977744571
2025-08-25,2025-08-26,0.0095404870772124,-0.0166634238090604,1.0,0.0,0.0,0.0,0.0,0.008003748497448,0.5401062480672594,0.6443954830487519,0.8256361556343191,0.244142656660249,0.5814934989740701,0.0,0.0095404870772124,-0.0166634238090604
2026-03-25,2026-03-26,-0.0157704138152086,0.0012371157209292,0.88,-0.12,0.001892449657825032,0.0,0.0,-0.0328566528079795,0.696866507882733,0.6513560061466528,0.5366851495509469,0.3283308810903707,0.2083542684605762,0.0,0.0012371157209292,-0.0157704138152086
