date,trade_date,fwd_ret_1d,target_ret,final_position,position_gap,position_gap_return,turnover,turnover_cost,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,ret_20,ma_ratio_60,ma_spread_20_60,drawdown_60,volatility_20,volatility_60,trend_regime_score
2026-03-23,2026-03-24,0.0561399399527289,0.067545575392178,0.88,-0.12,-0.006736792794327468,0.0,0.0,-0.0602157463356388,0.6897887187864004,0.6502110942360434,0.5615105249995225,0.3697290629451171,0.1917814620544053,-0.1213187929329377,-0.0803713564457919,0.0413798994120182,-0.1483790911304654,0.0240990360536224,0.0165472308973202,0.25
2025-01-13,2025-01-14,0.0547114823051495,0.0655634416707184,0.88,-0.12,-0.0065653778766179395,0.0,0.0,-0.0177900501508606,0.6103181610470307,0.6023561594240032,0.468120806917231,0.3229904504287459,0.145130356488485,-0.1834566259710911,-0.0767785040357257,-0.0100939737048219,-0.1951284461878319,0.0270696399455503,0.0233387025020826,0.0
2025-01-06,2025-01-07,0.0366605926415575,0.0955035639805437,0.88,-0.12,-0.0043992711169869,0.0,0.0,-0.0365466545440065,0.663722041422547,0.6045584198453953,0.5118103192412119,0.3608732115077667,0.1509371077334451,-0.1698059603276164,-0.0851921035576248,0.0448417116703183,-0.208313457788975,0.0258739179726067,0.0230987866061458,0.25
2026-04-07,2026-04-08,0.0364172835706917,0.0369743493300962,0.88,-0.12,-0.004370074028483003,0.0,0.0,0.0117688005321813,0.5886680433068304,0.657505252770799,0.5210791342636186,0.4425729402491809,0.0785061940144377,-0.0655008927037941,-0.0303770309324626,-0.0025648079259397,-0.090855866824863,0.0286485669980602,0.0195382852968486,0.0
2025-04-09,2025-04-10,0.0359420456385373,0.097871106909501,0.88,-0.12,-0.004313045476624476,0.0,0.0,0.0094674432211944,0.6755408973523108,0.6626346609171972,0.5516704206992713,0.3355406548307453,0.2161297658685259,-0.1038567750994617,-0.0420955913162662,0.0503172360104335,-0.1358191304975807,0.0340922687117611,0.0239932688163738,0.25
2026-03-05,2026-03-06,0.0346771088482742,-0.0043418066831054,0.88,-0.12,-0.004161253061792903,0.0,0.0,0.0105583322586991,0.6403982317841733,0.6248713646034499,0.3092336602149952,0.4059510761792186,-0.0967174159642234,0.0196165234859528,0.0511742528658207,0.0664506487140583,-0.0513214409690738,0.0140365808335878,0.0123410419810665,0.75
2025-04-08,2025-04-09,0.0344741882586225,0.1276066360313485,0.88,-0.12,-0.0041369025910347,0.0,0.0,-0.012788062479531,0.6593710090598331,0.6463606372760263,0.5449000007929891,0.3358844660094508,0.2090155347835382,-0.1279064014456321,-0.0724313566769864,0.0576772348325274,-0.1646182386076405,0.0329518141997467,0.023641966816655,0.25
2026-04-03,2026-04-07,0.0331801969821197,0.0738116231520966,0.88,-0.12,-0.003981623637854364,0.0,0.0,-0.009187155607048,0.5200911815563735,0.5836319089262286,0.4657996090342466,0.5293732221296158,-0.0635736130953691,-0.1035362332610198,-0.0605382100242667,0.001876201147644,-0.1200526918433855,0.0273687985933731,0.0190937275800629,0.25
2025-04-30,2025-05-06,0.0311139279133363,0.0890837177094703,0.88,-0.12,-0.0037336713496003556,0.0,0.0,0.0264899811276626,0.7791152890492011,0.7288206854159851,0.5230298155293834,0.2406157259487759,0.2824140895806074,0.0150198589029117,0.0336827996385635,-0.0108951426383507,-0.0385665667653644,0.0341683964053448,0.0230806562215432,0.75
2025-04-11,2025-04-14,0.0268836576187043,0.0428952478180799,0.88,-0.12,-0.003226038914244516,0.0,0.0,0.0099795820768542,0.6705751199821098,0.6694417789452923,0.5461842987826003,0.2803348364557325,0.2658494623268678,-0.062653479094007,-0.0039219807674852,0.0390537730709485,-0.0980717845020582,0.0353146955466047,0.0239780356105374,0.25
