strategy,total_return,excess_return_vs_buy_hold,max_drawdown,avg_position,min_position,days_below_full_exposure,missed_upside,avoided_downside,turnover_cost,net_timing_contribution,benchmark_clone
buy_hold,1.1087406833801303,0.0,-0.1726028201054377,1.0,1.0,0,0.0,0.0,0.0,0.0,True
ml_big_up_index_enhancement,0.9993058536385906,-0.1094348297415397,-0.1680052919123926,0.939875,0.88,257,0.1623988173126176,0.1044994275870601,0.0017,-0.0595993897255574,False
ml_conservative_full_participation_enhancement,1.074227146863147,-0.0345135365169833,-0.1675940746156956,0.9833125,0.94,160,0.0459493128101544,0.0280788086619973,0.00084,-0.018710504148157,False
ml_ultra_conservative_full_participation_enhancement,1.086119757961956,-0.0226209254181743,-0.1726028201054374,0.9915625,0.94,45,0.0238203080598847,0.0123197196299223,0.00012,-0.0116205884299623,False
