date,trade_date,fwd_ret_1d,target_ret,final_position,position_gap,position_gap_return,turnover,turnover_cost,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,ret_20,ma_ratio_60,ma_spread_20_60,drawdown_60,volatility_20,volatility_60,trend_regime_score
2026-03-20,2026-03-23,-0.0639879617726489,-0.0328545660842589,0.88,-0.12,0.007678555412717868,0.0,0.0,-0.0283408141701586,0.7187153618603834,0.7140134453993746,0.6628445670265875,0.3666248589793372,0.2962197080472502,-0.0592535946171813,-0.0167584393224395,0.0485229414142263,-0.0901603034055406,0.0199226780440222,0.0141805916898634,0.25
2025-01-02,2025-01-03,-0.0478283114620352,0.0237316260353719,0.88,-0.12,0.005739397375444224,0.12,0.00012,-0.005796310095069,0.5768628870070569,0.5654621506503086,0.4685036910965011,0.4105996651748386,0.0579040259216624,-0.0967803981225442,-0.0298319378837724,0.065563874551207,-0.1627147137690052,0.0250819625014464,0.0227176620011333,0.25
2026-04-02,2026-04-03,-0.0368132865268899,0.0240459595415389,0.88,-0.12,0.0044175943832267875,0.0,0.0,0.0153144218122077,0.6066368118595412,0.6489481297794867,0.5840464892217441,0.377211461022912,0.206835028198832,-0.0369982004713181,-0.0240437752030688,0.0079084838670955,-0.0864208404789413,0.0276746453870527,0.0184903551866646,0.25
2026-03-19,2026-03-20,-0.0367577485416203,-0.0327987998365408,0.88,-0.12,0.004410929824994436,0.0,0.0,0.0051854956170982,0.6182744925797271,0.6661379716188817,0.4346873786204226,0.4306066058445455,0.0040807727758771,-0.0341373866237179,0.0226198995844923,0.0535330066549462,-0.0554404198767932,0.0183907422830911,0.0135139598141768,0.5
2025-04-03,2025-04-07,-0.130879117753039,-0.0286488459860796,0.97,-0.030000000000000027,0.003926373532591174,0.0,0.0,-0.0065254633401051,0.4425529480029306,0.3784988863200287,0.2677710756980437,0.4832820944977803,-0.2155110187997366,0.0044193001504846,0.0584147690099692,0.0723045935806168,-0.0480067884740377,0.0153010562346177,0.017387489717719,0.75
2025-01-09,2025-01-10,-0.0315477194758448,0.0328581069681122,0.88,-0.12,0.003785726337101376,0.0,0.0,-0.027284967917382,0.582378240430587,0.5884471436646705,0.3756918261115492,0.3622655713083718,0.0134262548031773,-0.1592848176228201,-0.0532886939273367,0.0141983624004597,-0.1765272522658121,0.0271502493623031,0.0231313059517061,0.25
2026-03-18,2026-03-19,-0.0296326162370609,-0.0414103469979494,0.88,-0.12,0.0035559139484473076,0.0,0.0,-0.0113349652686126,0.4654492764738136,0.5110567271195815,0.2429964564588733,0.5327501474381732,-0.2897536909792998,-0.0058432109217906,0.0561408901782287,0.0576361351740637,-0.0265959100352832,0.0171658217970264,0.0128516011769581,0.5
2025-09-02,2025-09-03,-0.025995278778867,0.0406092223426328,0.88,-0.12,0.0031194334534640398,0.0,0.0,-0.0263237034320641,0.6431735191031187,0.6949305859413448,0.5961238415024853,0.2572320375279449,0.3388918039745404,0.010164699013571,0.0725794016194461,0.0877195153399961,-0.0440699362697228,0.0132986646058913,0.0118268772804863,0.75
2025-12-10,2025-12-11,-0.0258956510632861,-0.0061793157137686,0.88,-0.12,0.003107478127594332,0.0,0.0,0.0105126274230339,0.7077398297738469,0.7269157710766855,0.3233178516783276,0.3641462949542969,-0.0408284432759693,-0.018951852896031,0.0308677931180649,0.0417363903305012,-0.0446392255755307,0.0168356251200719,0.0127450473324684,0.5
2026-03-16,2026-03-17,-0.0222818120723686,-0.0434007842224185,0.88,-0.12,0.002673817448684232,0.0,0.0,0.0003475654978104,0.4223733309976902,0.4666951524703092,0.2913718310233059,0.5791510694744778,-0.2877792384511718,0.0181607569788193,0.0677711815577428,0.0644622418550291,-0.0208902175546217,0.0163370016192775,0.0130050963000896,1.0
