factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_intraday_return_std_5,20,0.3333988191899502,0.3265210930454853,-0.1227340137372209,0.22807591050897275,0.025996811696535702,0.017143009499580898,0.02454295821259375,0.017336725382847813,0.008853802196954804,0.8456692913385827,0.3265210930454853
m5_first_hour_return_std_5,20,0.35044412411105963,0.3214158813876258,-0.1271111558510087,0.2351523981330924,0.017337374620659107,0.01146648896620696,0.01656095720478857,0.011678308173350105,0.005870885654452146,0.8456692913385827,0.3214158813876258
m5_intraday_range_std_5,20,0.33262212770411426,0.3123254519349656,-0.15244327270803398,0.23708070117452398,0.014582692863875863,0.008452768921390907,0.013814494447840768,0.008828259712195438,0.006129923942484955,0.8456692913385827,0.3123254519349656
m5_intraday_return_std_5,10,0.23522887590729882,0.306355331356622,-0.07747245802724094,0.19433711725594707,0.02559954901307031,0.018078863293534343,0.024017992620242512,0.0179505959985258,0.007520685719535968,0.8412532637075718,0.306355331356622
amihud_illiq_20,10,0.32229640518312536,0.29207322116826545,-0.15782514592515562,0.2643448494647878,0.011300481320720897,0.008508412018943394,0.010860835121729225,0.008531770687405835,0.0027920693017775035,0.005221932114882507,0.29207322116826545
m5_intraday_range_std_5,10,0.23802249848114132,0.28905038069025607,-0.10602740297893336,0.20497137751902075,0.01419744691920768,0.008974531960901635,0.01323366220388492,0.008941330797791107,0.005222914958306044,0.8412532637075718,0.28905038069025607
m5_intraday_range,20,0.2977909058230206,0.2843299436804626,-0.09704481063221453,0.22039683993103643,0.03626182039789039,0.024983950629063563,0.03494793272074633,0.024502784028480717,0.011277869768826825,0.8446194225721785,0.2843299436804626
m5_intraday_volatility_mean_5,5,0.2237358835769286,0.2836621644480187,-0.08807710114492212,0.23230769349927,0.0022880656014025624,0.001809678417922326,0.0022083659050236063,0.0017576305168682976,0.00047838718348023647,0.8390625,0.2836621644480187
m5_intraday_volatility,20,0.26147439629939745,0.28360675425406,-0.08795282147557316,0.21486784577077395,0.002351493771883322,0.0017853549021931983,0.0022914130718465256,0.0017713529614474398,0.0005661388696901238,0.8446194225721785,0.28360675425406
m5_last_hour_volume_share_std_5,10,0.14867588227066114,0.2817242092357189,-0.0531416039953483,0.19886849289544478,0.02403285505239864,0.019130158413066433,0.0231694061102904,0.018565585745002416,0.004902696639332207,0.8412532637075718,0.2817242092357189
amihud_illiq_20,20,0.3586292870815358,0.27596380713354146,-0.1738718555998061,0.28153584019435485,0.011121891408053773,0.008213487592062389,0.010822740036872449,0.008268203665801215,0.002908403815991384,0.005249343832020997,0.28153584019435485
m5_large_up_count,20,0.25509386250747484,0.27820436823492545,-0.06768741376510563,0.1777517090432987,3.810344827586207,2.3736263736263736,3.5220588235294117,2.3333333333333335,1.4367184539598332,0.8446194225721785,0.27820436823492545
amihud_illiq_10,20,0.3923067056066275,0.27322070550244676,-0.16026031544702127,0.24924141688523266,0.011394079204884042,0.008049356584785004,0.011000179325160453,0.008218801569088385,0.0033447226200990377,0.0026246719160104987,0.27322070550244676
m5_bar_range_mean,20,0.24422082629001177,0.2716245786002528,-0.06077290551542867,0.18122244224485398,0.0025245794467097732,0.0020390788758721167,0.0024482492932149796,0.0020243090601775086,0.0004855005708376565,0.8446194225721785,0.2716245786002528
m5_morning_return_std_5,10,0.2759249518944774,0.26967807133320687,-0.08974138544847653,0.1759059923754657,0.01875134208636498,0.013553162841403966,0.017708928465520715,0.013706842927310395,0.005198179244961012,0.8412532637075718,0.26967807133320687
m5_first_hour_return_std_5,10,0.2931056024313062,0.26874735378004183,-0.09639039592215379,0.17339603866660946,0.016606597655430266,0.011800661600250822,0.015569749276967039,0.011983044076027542,0.004805936055179445,0.8412532637075718,0.26874735378004183
m5_afternoon_return_std_5,10,0.13804581343730452,0.26665948312146204,-0.005307674588160918,0.15196598704197004,0.011715748491449147,0.009285102309933449,0.010987587453491831,0.008787485408393438,0.002430646181515698,0.8412532637075718,0.26665948312146204
amihud_illiq_10,10,0.2994099527412973,0.26640409202629484,-0.11534321419613965,0.21530319240341167,0.011390996580213142,0.008602979012353676,0.010837967997747172,0.008543700133582553,0.0027880175678594663,0.0026109660574412533,0.26640409202629484
m5_last_hour_return_std_5,10,0.06002500356088824,0.2652984333358265,5.2878781153203555e-05,0.14228716831876675,0.00855873205677709,0.006708818223510357,0.007875901837767317,0.0062780489827937375,0.0018499138332667324,0.8412532637075718,0.2652984333358265
m5_midday_reversal_std_5,10,0.054280603780892354,0.26432962944047467,0.008315683719598264,0.1385579842621574,0.008224742057791752,0.006581341190989396,0.007600025209350161,0.006158480322431245,0.0016434008668023562,0.8412532637075718,0.26432962944047467
