date,trade_date,fwd_ret_1d,target_ret,final_position,position_gap,position_gap_return,turnover,turnover_cost,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,target_big_up,realized_positive_return,realized_weak_return
2025-06-19,2025-06-20,-0.0027008707222265,0.0998108762871501,0.97,-0.030000000000000027,8.102612166679508e-05,0.0,0.0,-0.0090397574211529,0.408925285972571,0.3671009910218363,0.1314160542172412,0.6718015548051585,-0.5403855005879172,1.0,0.0998108762871501,-0.0027008707222265
2025-06-20,2025-06-23,0.0253407257768463,0.0898211255226,0.97,-0.030000000000000027,-0.0007602217733053897,0.0,0.0,-0.0144507495272985,0.3721175148361361,0.3317010466874575,0.119162596973341,0.6980119389313731,-0.5788493419580321,1.0,0.0898211255226,0.0253407257768463
2025-06-23,2025-06-24,0.0265537058367415,0.0806083681306428,0.97,-0.030000000000000027,-0.0007966111751022457,0.0,0.0,0.0014313373078678,0.346904589849434,0.3893090502099089,0.130604735391254,0.6422154859063779,-0.5116107505151238,1.0,0.0806083681306428,0.0265537058367415
2025-03-03,2025-03-04,0.0167524762184956,0.0770790428557417,0.97,-0.030000000000000027,-0.0005025742865548684,0.0499999999999999,4.99999999999999e-05,-0.0461149564585308,0.2567392834556014,0.2223238720416067,0.155668033690354,0.7128149361846573,-0.5571469024943032,1.0,0.0770790428557417,0.0167524762184956
2025-02-28,2025-03-03,0.0067978851024126,0.0733278041893139,0.92,-0.07999999999999996,-0.0005438308081930078,0.0499999999999999,4.99999999999999e-05,-0.0452559222738739,0.2933669858121273,0.2433775181948384,0.1701800124949785,0.6864140206851833,-0.5162340081902048,1.0,0.0733278041893139,0.0067978851024126
2025-07-15,2025-07-16,0.0125532953803499,0.0689364870603772,0.97,-0.030000000000000027,-0.0003765988614104973,0.0,0.0,-0.0104947127796123,0.4219719535107502,0.4498590136952666,0.2137133211738382,0.5932174715801395,-0.3795041504063012,1.0,0.0689364870603772,0.0125532953803499
2025-03-04,2025-03-05,-0.004031703853026,0.0684593923990808,0.97,-0.030000000000000027,0.0001209511155907801,0.0,0.0,-0.0495121820289164,0.2635524033868114,0.2431589627182269,0.1797407365072262,0.6746808177501736,-0.4949400812429474,1.0,0.0684593923990808,-0.004031703853026
2025-06-18,2025-06-19,-0.0226950238604439,0.0679910201310995,0.97,-0.030000000000000027,0.0006808507158133176,0.0,0.0,-0.0052522683512036,0.365102904440206,0.366120097077789,0.0706634182718448,0.5994603693592325,-0.5287969510873878,1.0,0.0679910201310995,-0.0226950238604439
2025-03-05,2025-03-06,0.0167901007406046,0.0677220905430695,0.97,-0.030000000000000027,-0.0005037030222181384,0.0,0.0,-0.0431286756497146,0.2603596289834132,0.2335712232556963,0.1794591648887361,0.6734440923867405,-0.4939849274980044,1.0,0.0677220905430695,0.0167901007406046
2025-07-23,2025-07-24,0.0130407038924387,0.0656510915185992,0.97,-0.030000000000000027,-0.00039122111677316137,0.0,0.0,-0.0276988926817894,0.2685646189405632,0.2787508413209904,0.0767759410785471,0.670894478605936,-0.5941185375273889,1.0,0.0656510915185992,0.0130407038924387
2025-05-28,2025-05-29,0.0200663506701674,0.0635488154428605,0.97,-0.030000000000000027,-0.0006019905201050226,0.0,0.0,-0.0256312537983387,0.4097058703578122,0.4485476506461416,0.2080934713506123,0.558924887359926,-0.3508314160093136,1.0,0.0635488154428605,0.0200663506701674
2025-07-28,2025-07-29,-0.0030534670810076,0.0620185336727625,0.97,-0.030000000000000027,9.160401243022808e-05,0.0,0.0,-0.0343674483564045,0.2328658232926769,0.2109521995314443,0.04309096404466,0.7097891761905705,-0.6666982121459104,1.0,0.0620185336727625,-0.0030534670810076
2025-07-29,2025-07-30,-0.0006073133124127,0.061849697830999,0.97,-0.030000000000000027,1.8219399372381018e-05,0.0,0.0,-0.0342001622873459,0.244106800269381,0.2403324808778126,0.0670307638672138,0.7027149639317903,-0.6356842000645765,1.0,0.061849697830999,-0.0006073133124127
2025-06-24,2025-06-25,0.0057497379235573,0.0611425337112017,0.97,-0.030000000000000027,-0.00017249213770671913,0.0,0.0,0.0025635822536506,0.3818385271893142,0.3998425454818665,0.1812603618646282,0.5552478365345713,-0.3739874746699431,1.0,0.0611425337112017,0.0057497379235573
2025-07-11,2025-07-14,0.0132845299686663,0.0598663325915669,0.97,-0.030000000000000027,-0.00039853589905998937,0.0,0.0,-0.0170647267675647,0.3767701394945242,0.4003383662653386,0.0988647461949666,0.5778972135795775,-0.4790324673846108,1.0,0.0598663325915669,0.0132845299686663
2025-07-30,2025-07-31,-0.0135196192090671,0.0594425433696073,0.97,-0.030000000000000027,0.00040558857627201336,0.0,0.0,-0.0297070749980418,0.3001533462894377,0.3075898049662935,0.0969930317668544,0.6729549803194704,-0.575961948552616,1.0,0.0594425433696073,-0.0135196192090671
2025-06-17,2025-06-18,-0.005878216046798,0.0590768843015858,0.97,-0.030000000000000027,0.00017634648140394014,0.0,0.0,-0.0065312234972932,0.3727276400649463,0.3409793277605182,0.0782179276407497,0.5936660831331657,-0.515448155492416,1.0,0.0590768843015858,-0.005878216046798
2025-06-26,2025-06-27,0.0085250868131085,0.0581806029061626,0.97,-0.030000000000000027,-0.0002557526043932552,0.0,0.0,-0.0083375500372743,0.3093223274660418,0.3308487026178906,0.1279521526425915,0.5927320572149258,-0.4647799045723343,1.0,0.0581806029061626,0.0085250868131085
2025-05-26,2025-05-27,0.0096232565272897,0.0579728302310662,0.97,-0.030000000000000027,-0.00028869769581869127,0.0,0.0,-0.0249265585875628,0.4141403979335516,0.4396919464074704,0.2213396903192853,0.5545673591109972,-0.3332276687917118,1.0,0.0579728302310662,0.0096232565272897
2025-07-14,2025-07-15,-0.0143789909628834,0.0567931420437048,0.97,-0.030000000000000027,0.00043136972888650234,0.0,0.0,-0.0180681912257425,0.3842319403324611,0.4145725498161821,0.0822235439556105,0.5954371562101108,-0.5132136122545004,1.0,0.0567931420437048,-0.0143789909628834
