experiment_id,family,model_name,horizon,feature_top_k,decision_target_label,max_position_change,robust_score,test_total_return,test_excess_return_vs_buy_hold,test_max_drawdown,test_sharpe,avg_excess_return_vs_buy_hold,avg_turnover,avg_position,avg_max_drawdown,positive_fold_ratio,status
auto_20260614_190800_exp_004,ml_bull_full_participation_enhancement,ExtraTrees,10,50,avoid_loss_label,0.3,1.7048742668068624,1.112701212303126,0.0039605289230046,-0.172602820105438,2.332921486490729,9.883543276349252e-05,0.0453333333333333,0.9988438062678064,-0.2313910373952804,0.3333333333333333,ok
auto_20260614_190800_exp_034,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.2,1.6705853246812925,1.084449136566143,-0.0242915468139783,-0.1700997810573996,2.3215956343301305,0.0012050914516164,0.1200000000000001,0.9907045925925928,-0.2313564831932654,0.3333333333333333,ok
auto_20260614_190800_exp_043,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.35,1.6681405623340737,1.0839476513718402,-0.0247930320082812,-0.1700997810573997,2.3215298249305296,0.0012641661420531,0.1266666666666668,0.9901724216524216,-0.2313426904695565,0.3333333333333333,ok
auto_20260614_190800_exp_012,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_up_label,0.25,1.6568527526352657,1.1078221337995662,-0.0009185495805552,-0.1625746679818074,2.371711989060327,0.000923218529457,0.1400000000000001,0.9894099145299144,-0.2315712902253031,0.3333333333333333,ok
auto_20260614_190800_exp_023,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.2,1.6568527526352657,1.1078221337995662,-0.0009185495805552,-0.1625746679818074,2.371711989060327,0.000923218529457,0.1400000000000001,0.9894099145299144,-0.2315712902253031,0.3333333333333333,ok
auto_20260614_190800_exp_044,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.4,1.5803332959664982,1.0839260589619313,-0.0248146244181901,-0.1700997810573997,2.328156179792638,0.0003064571798376,0.3510000000000002,0.9848055118095764,-0.2292331168983913,0.3333333333333333,ok
auto_20260614_190800_exp_003,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.2,1.558904639320034,1.084761288463155,-0.0239793949169664,-0.1700997810573997,2.32811249691446,-0.0012755855214399,0.4280000000000004,0.9876640229758294,-0.2293351014234899,0.3333333333333333,ok
auto_20260614_190800_exp_042,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.2,1.5508054850547124,1.0854488461247151,-0.0232918372554062,-0.1700997810573995,2.330146848911176,-0.0018417087990549,0.4583333333333337,0.9871659266611524,-0.229340554716262,0.3333333333333333,ok
auto_20260614_190800_exp_008,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_up_label,0.3,1.540094962613069,1.0839722226906296,-0.0247684606894917,-0.1700997810573996,2.3277712414191365,-0.0024563657437504,0.4689999999999998,0.9885136386361548,-0.2296561999493601,0.3333333333333333,ok
auto_20260614_190800_exp_046,ml_bull_full_participation_enhancement,RandomForest,10,50,big_up_label,0.2,1.5104338880190096,1.1131672500650112,0.0044265666848897,-0.1726028201054383,2.3337838878560238,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_010,ml_ultra_conservative_full_participation_enhancement,RandomForest,10,80,big_down_label,0.15,1.5104338880190096,1.1129342287319917,0.0041935453518702,-0.172602820105438,2.333352775802657,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_014,ml_ultra_conservative_full_participation_enhancement,XGBoost,20,80,big_up_label,0.35,1.5104338880190096,1.1117881531963514,0.0030474698162299,-0.172602820105438,2.331362267183584,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_018,ml_bull_full_participation_enhancement,RandomForest,10,50,big_up_label,0.2,1.5104338880190096,1.1117691956298406,0.0030285122497191,-0.1726028201054379,2.331194560370842,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_016,ml_bull_full_participation_enhancement,ExtraTrees,20,80,avoid_loss_label,0.2,1.5104338880190096,1.1102559585287817,0.0015152751486602,-0.1726028201054381,2.3296375792286765,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_001,ml_bull_full_participation_enhancement,ExtraTrees,5,50,reduce_position_worth_label,0.25,1.5104338880190096,1.1087406833801214,0.0,-0.1726028201054382,2.3255626278329253,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_026,ml_bull_full_participation_enhancement,ExtraTrees,10,80,big_up_label,0.15,1.5104338880190096,1.1087406833801214,0.0,-0.1726028201054382,2.3255626278329253,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_030,ml_bull_full_participation_enhancement,RandomForest,10,80,reduce_position_worth_label,0.25,1.5104338880190096,1.1087406833801214,0.0,-0.1726028201054382,2.3255626278329253,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_002,ml_bull_full_participation_enhancement,LightGBM,20,80,avoid_loss_label,0.35,1.5104338880190096,1.108232508215124,-0.0005081751649975,-0.1726028201054378,2.3282946542871,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_020,ml_ultra_conservative_full_participation_enhancement,HistGradientBoosting,20,80,avoid_loss_label,0.3,1.5104338880190096,1.0996027644710344,-0.0091379189090869,-0.1726028201054383,2.32266925605704,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_040,ml_ultra_conservative_full_participation_enhancement,HistGradientBoosting,20,80,big_down_label,0.25,1.5104338880190096,1.099205378114196,-0.0095353052659254,-0.172602820105438,2.322531836366071,0.0,0.0,1.0,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_050,ml_ultra_conservative_full_participation_enhancement,RandomForest,20,80,avoid_loss_label,0.15,1.5076364867148453,1.113921270216338,0.0051805868362166,-0.1726028201054382,2.335398066890825,-0.0001159844431535,0.0153333333333333,0.9998773333333334,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_029,ml_bull_full_participation_enhancement,RandomForest,20,50,big_up_label,0.2,1.5065414919094458,1.1124682007784417,0.0037275173983202,-0.1726028201054379,2.332490020105842,-0.0001613866704216,0.0213333333333333,0.9998293333333332,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_006,ml_bull_full_participation_enhancement,LightGBM,20,50,big_down_label,0.3,1.5062981322727944,1.107873048378354,-0.0008676350017675,-0.1726028201054379,2.330169429128056,-0.0001714773536136,0.0226666666666666,0.9998186666666666,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_037,ml_bull_full_participation_enhancement,RandomForest,20,80,big_down_label,0.25,1.5024977900173142,1.1122960465560243,0.0035553631759031,-0.1726028201054382,2.332324970464172,-0.0003191509339423,0.0466666666666667,0.9997072364672364,-0.2316938068892263,0.0,ok
auto_20260614_190800_exp_039,ml_conservative_full_participation_enhancement,ExtraTrees,20,80,avoid_loss_label,0.2,1.4959463693627588,1.0945550834150626,-0.0141855999650588,-0.1709979271564331,2.323448314389933,-0.003887385221382,0.0873333333333334,0.9876353276353276,-0.2303530084984913,0.3333333333333333,ok
auto_20260614_190800_exp_041,ml_conservative_full_participation_enhancement,XGBoost,20,80,avoid_loss_label,0.15,1.476156140839002,1.0842945051637631,-0.0244461782163583,-0.1700997810573992,2.327829601794959,-0.0046111481401115,0.2090000000000001,0.9889808091168092,-0.230507183367313,0.3333333333333333,ok
auto_20260614_190800_exp_017,ml_conservative_full_participation_enhancement,ExtraTrees,20,50,avoid_loss_label,0.35,1.4531450236802168,1.1075827072320354,-0.0011579761480859,-0.16039628515826,2.3817050387008134,-0.0031993320427115,0.1076666666666666,0.9832193732193732,-0.230095931862961,0.3333333333333333,ok
auto_20260614_190800_exp_027,ml_conservative_full_participation_enhancement,HistGradientBoosting,20,50,big_down_label,0.25,1.423765525084705,1.066355657732454,-0.0423850256476674,-0.1677612046552119,2.325436875995354,-0.002195965246694,0.2309999999999998,0.9924773333333334,-0.2314683941902111,0.0,ok
auto_20260614_190800_exp_033,ml_conservative_full_participation_enhancement,LightGBM,20,80,big_down_label,0.2,1.420598335431975,1.0814710243248489,-0.0272696590552725,-0.1700997810573996,2.3267210677029517,-0.002314362469393,0.2513333333333336,0.9932184615384614,-0.2315751611986723,0.0,ok
auto_20260614_190800_exp_048,ml_conservative_full_participation_enhancement,LightGBM,20,80,reduce_position_worth_label,0.3,1.4174950935351271,1.1090286139147696,0.0002879305346481,-0.1625746679818074,2.373299298386091,-0.0023946613256929,0.2600000000000002,0.9929846153846156,-0.2315712902253032,0.0,ok
auto_20260614_190800_exp_028,ml_conservative_full_participation_enhancement,XGBoost,20,50,reduce_position_worth_label,0.3,1.402720696708123,1.0962247633280215,-0.0125159200520998,-0.1726028201054381,2.321469982522413,-0.0033071684991918,0.1679999999999998,0.9931608205128204,-0.2316874194263758,0.0,ok
auto_20260614_190800_exp_015,ml_conservative_full_participation_enhancement,ExtraTrees,10,50,big_up_label,0.25,1.379795954911292,1.0906761460062162,-0.0180645373739052,-0.172602820105438,2.316538102992007,-0.0034157643039,0.2719999999999998,0.98781656980057,-0.2318761795344653,0.0,ok
auto_20260614_190800_exp_036,ml_conservative_full_participation_enhancement,LightGBM,20,50,avoid_loss_label,0.2,1.3750176225666384,1.0820838219033684,-0.026656861476753,-0.1700997810573994,2.326599188210606,-0.0045694653043222,0.2826666666666669,0.9926820740740742,-0.2316874194263757,0.0,ok
auto_20260614_190800_exp_005,ml_conservative_full_participation_enhancement,RandomForest,20,50,big_down_label,0.2,1.3580857222551967,1.084663633966314,-0.0240770494138073,-0.1700997810573996,2.3292997972337424,-0.0040387622898107,0.2220000000000002,0.9872297435897434,-0.2306097595659398,0.3333333333333333,ok
auto_20260614_190800_exp_045,ml_conservative_full_participation_enhancement,ExtraTrees,10,50,big_down_label,0.4,1.3132922229400363,1.0848281429777602,-0.0239125404023612,-0.1700997810573993,2.324190192795836,-0.0062383897819897,0.3343333333333328,0.98324,-0.2306814098972755,0.3333333333333333,ok
auto_20260614_190800_exp_024,ml_conservative_full_participation_enhancement,ExtraTrees,10,50,big_down_label,0.2,1.3118155126429285,1.084207042323027,-0.0245336410570944,-0.1700997810573992,2.325366222149351,-0.006438900078773,0.4199999999999996,0.9842383133903132,-0.2308978763210838,0.3333333333333333,ok
auto_20260614_190800_exp_035,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.25,1.107755137905328,1.085171117025559,-0.0235695663545625,-0.1700997810573997,2.3241002669334674,-0.0062849568407717,0.2303333333333329,0.9844259829059832,-0.2304236207600564,0.0,ok
auto_20260614_190800_exp_032,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.25,1.1045547799546214,1.085721118761311,-0.0230195646188104,-0.1700997810573992,2.32356546804113,-0.0061496460196177,0.1730000000000001,0.9830137891737892,-0.2302413199417742,0.0,ok
auto_20260614_190800_exp_022,ml_conservative_full_participation_enhancement,RandomForest,20,80,big_down_label,0.25,1.1045354521510788,1.082622810674252,-0.0261178727058695,-0.1700997810573995,2.328237734889808,-0.0062801319016763,0.2066666666666663,0.9836533333333332,-0.230330534115912,0.0,ok
auto_20260614_190800_exp_025,ml_conservative_full_participation_enhancement,RandomForest,20,80,avoid_loss_label,0.2,1.097131981061085,1.0822645681972518,-0.0264761151828696,-0.1700997810573995,2.330362954185396,-0.0068904413745681,0.3133333333333331,0.9849527065527068,-0.2305447672620901,0.0,ok
auto_20260614_190800_exp_019,ml_big_up_index_enhancement,XGBoost,20,50,reduce_position_worth_label,0.25,0.8456661680456475,1.0310697658852064,-0.077670917494915,-0.1700997810573996,2.324486763289241,-0.0049879501689398,0.5819999999999997,0.9338613763440864,-0.2171897716927794,0.3333333333333333,ok
auto_20260614_190800_exp_031,ml_big_up_index_enhancement,ExtraTrees,5,50,big_down_label,0.3,0.810291890562445,1.0310887481438282,-0.0776519352362932,-0.1709344238875872,2.28641050294194,-0.006761734095726,0.4966666666666666,0.941572129032258,-0.2190448305710931,0.3333333333333333,ok
