experiment_id,family,feature_top_k,search_engine,model_name,horizon,big_up_prob_threshold,big_down_prob_threshold,tail_score_threshold,mild_cut_exposure,defensive_cut_exposure,severe_defensive_exposure,no_trade_band,high_volatility_multiplier,drawdown_threshold,decision_target_label,opportunity_cost_buffer,min_strong_up_position,max_position_change,trial_number,seed,robust_score,avg_excess_return_vs_buy_hold,avg_sharpe,avg_calmar,avg_turnover,avg_max_drawdown,avg_position,avg_missed_upside,avg_avoided_downside,positive_fold_ratio,excess_stability,excess_std,fold_count,status,failure_reason,test_total_return,test_excess_return_vs_buy_hold,test_max_drawdown,test_sharpe,artifact_dir,error
auto_20260614_190800_exp_010,ml_ultra_conservative_full_participation_enhancement,80,optuna,RandomForest,10,0.625,0.686,0.0233,0.988,0.964,0.942,0.0765,1.197,0.128,big_down_label,0.0011,0.982,0.15000000000000002,9,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1129342287319917,0.00419354535187022,-0.17260282010543804,2.333352775802657,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_010,
auto_20260614_190800_exp_014,ml_ultra_conservative_full_participation_enhancement,80,optuna,XGBoost,20,0.561,0.732,0.059,0.989,0.97,0.953,0.0653,1.26,0.103,big_up_label,0.0014,0.968,0.35000000000000003,13,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1117881531963514,0.003047469816229942,-0.17260282010543804,2.331362267183584,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_014,
auto_20260614_190800_exp_018,ml_bull_full_participation_enhancement,50,optuna,RandomForest,10,0.553,0.775,0.033,0.999,0.992,0.974,0.076,1.308,0.108,big_up_label,0.0023,0.991,0.2,17,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1117691956298406,0.0030285122497191175,-0.17260282010543793,2.331194560370842,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_018,
auto_20260614_190800_exp_016,ml_bull_full_participation_enhancement,80,optuna,ExtraTrees,20,0.521,0.77,0.0165,0.999,0.994,0.982,0.0993,1.266,0.099,avoid_loss_label,0.0028,0.993,0.2,15,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1102559585287817,0.0015152751486602334,-0.17260282010543815,2.3296375792286765,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_016,
auto_20260614_190800_exp_001,ml_bull_full_participation_enhancement,50,optuna,ExtraTrees,5,0.599,0.652,0.0257,0.995,0.985,0.975,0.0336,1.116,0.137,reduce_position_worth_label,0.0025,0.997,0.25,0,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1087406833801214,0.0,-0.17260282010543826,2.3255626278329253,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_001,
auto_20260614_190800_exp_026,ml_bull_full_participation_enhancement,80,optuna,ExtraTrees,10,0.522,0.754,0.0481,0.997,0.99,0.971,0.0734,1.144,0.117,big_up_label,0.0018,0.989,0.15000000000000002,25,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1087406833801214,0.0,-0.17260282010543826,2.3255626278329253,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_026,
auto_20260614_190800_exp_030,ml_bull_full_participation_enhancement,80,optuna,RandomForest,10,0.561,0.716,0.0286,0.996,0.995,0.978,0.0629,1.126,0.115,reduce_position_worth_label,0.0027,0.995,0.25,29,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1087406833801214,0.0,-0.17260282010543826,2.3255626278329253,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_030,
auto_20260614_190800_exp_002,ml_bull_full_participation_enhancement,80,optuna,LightGBM,20,0.603,0.677,0.014,0.995,0.986,0.98,0.026,1.347,0.126,avoid_loss_label,0.001,0.987,0.35000000000000003,1,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1082325082151239,-0.0005081751649975708,-0.17260282010543782,2.3282946542870997,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_002,
auto_20260614_190800_exp_020,ml_ultra_conservative_full_participation_enhancement,80,optuna,HistGradientBoosting,20,0.591,0.704,0.0599,0.986,0.972,0.954,0.0675,1.236,0.102,avoid_loss_label,0.0012,0.963,0.30000000000000004,19,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.0996027644710344,-0.009137918909086995,-0.17260282010543837,2.32266925605704,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_020,
auto_20260614_190800_exp_040,ml_ultra_conservative_full_participation_enhancement,80,optuna,HistGradientBoosting,20,0.557,0.711,0.051,0.991,0.978,0.952,0.0605,1.155,0.113,big_down_label,0.002,0.977,0.25,39,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.099205378114196,-0.009535305265925498,-0.17260282010543804,2.322531836366071,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_040,
