date,trade_date,strategy,final_position,signal,buy_hold_return,strategy_return,active_return,turnover,transaction_cost,missed_upside,avoided_downside,gross_position_timing_contribution,net_position_timing_contribution,defensive_day,pred_big_up_prob,pred_big_down_prob,pred_tail_score
2025-01-02,2025-01-03,ml_big_up_index_enhancement,0.88,ADJUST,-0.0478283114620352,-0.04220891408659098,0.0056193973754442225,0.12,0.00012,0.0,0.005739397375444224,0.005739397375444224,0.005619397375444223,True,0.4685036910965011,0.4105996651748386,0.0579040259216624
2025-01-03,2025-01-06,ml_big_up_index_enhancement,0.88,ADJUST,-0.0069650382960925,-0.0061292337005614,0.0008358045955311,0.0,0.0,0.0,0.0008358045955311,0.0008358045955311,0.0008358045955311,True,0.5398026625661744,0.3866218772406085,0.1531807853255658
2025-01-06,2025-01-07,ml_big_up_index_enhancement,0.88,ADJUST,0.0366605926415575,0.0322613215245706,-0.0043992711169869025,0.0,0.0,0.0043992711169869,-0.0,-0.0043992711169869,-0.0043992711169869,True,0.5118103192412119,0.3608732115077667,0.1509371077334451
2025-01-07,2025-01-08,ml_big_up_index_enhancement,0.88,ADJUST,-0.0023530938670022,-0.002070722602961936,0.00028237126404026406,0.0,0.0,0.0,0.000282371264040264,0.000282371264040264,0.000282371264040264,True,0.4053213726390925,0.3527096621378409,0.0526117105012516
2025-01-08,2025-01-09,ml_big_up_index_enhancement,0.88,ADJUST,0.0057325795476721,0.005044670001951448,-0.0006879095457206523,0.0,0.0,0.000687909545720652,-0.0,-0.000687909545720652,-0.000687909545720652,True,0.4248146016904501,0.3733055518103687,0.0515090498800813
2025-01-09,2025-01-10,ml_big_up_index_enhancement,0.88,ADJUST,-0.0315477194758448,-0.027761993138743425,0.0037857263371013777,0.0,0.0,0.0,0.003785726337101376,0.003785726337101376,0.003785726337101376,True,0.3756918261115492,0.3622655713083718,0.0134262548031773
2025-01-10,2025-01-13,ml_big_up_index_enhancement,0.88,ADJUST,0.0092508442193837,0.008140742913057657,-0.0011101013063260431,0.0,0.0,0.001110101306326044,-0.0,-0.001110101306326044,-0.001110101306326044,True,0.5050155753200983,0.3756988599244446,0.1293167153956537
2025-01-13,2025-01-14,ml_big_up_index_enhancement,0.88,ADJUST,0.0547114823051495,0.04814610442853156,-0.006565377876617942,0.0,0.0,0.0065653778766179395,-0.0,-0.0065653778766179395,-0.0065653778766179395,True,0.468120806917231,0.3229904504287459,0.145130356488485
2025-01-14,2025-01-15,ml_big_up_index_enhancement,0.88,ADJUST,0.0002536797198067,0.00022323815342989602,-3.0441566376803993e-05,0.0,0.0,3.0441566376804e-05,-0.0,-3.0441566376804e-05,-3.0441566376804e-05,True,0.3791838555075161,0.3715392317405142,0.0076446237670019
2025-01-15,2025-01-16,ml_big_up_index_enhancement,0.88,ADJUST,0.0094601264804456,0.008324911302792127,-0.001135215177653472,0.0,0.0,0.0011352151776534718,-0.0,-0.0011352151776534718,-0.0011352151776534718,True,0.3642559775743199,0.3914500719762785,-0.0271940944019586
2025-01-16,2025-01-17,ml_big_up_index_enhancement,0.88,ADJUST,-0.0051733546570996,-0.004552552098247648,0.0006208025588519519,0.0,0.0,0.0,0.000620802558851952,0.000620802558851952,0.000620802558851952,True,0.3655841014408539,0.3568666948836059,0.008717406557248
2025-01-17,2025-01-20,ml_big_up_index_enhancement,0.88,ADJUST,0.0170916032814574,0.015040610887682512,-0.0020509923937748874,0.0,0.0,0.002050992393774888,-0.0,-0.002050992393774888,-0.002050992393774888,True,0.3847008785038175,0.3619152171861831,0.0227856613176344
2025-01-20,2025-01-21,ml_big_up_index_enhancement,0.88,ADJUST,-0.0112750136832689,-0.009922012041276632,0.0013530016419922679,0.0,0.0,0.0,0.0013530016419922679,0.0013530016419922679,0.0013530016419922679,True,0.4386299864706373,0.3706830247333291,0.0679469617373081
2025-01-21,2025-01-22,ml_big_up_index_enhancement,0.88,ADJUST,-0.0108608184228859,-0.009557520212139592,0.0013032982107463072,0.0,0.0,0.0,0.0013032982107463078,0.0013032982107463078,0.0013032982107463078,True,0.5682848702101666,0.4429887305578973,0.1252961396522693
2025-01-22,2025-01-23,ml_big_up_index_enhancement,0.88,ADJUST,0.0027436527436528,0.002414414414414464,-0.0003292383292383362,0.0,0.0,0.000329238329238336,-0.0,-0.000329238329238336,-0.000329238329238336,True,0.5035765433302399,0.4342381704515815,0.0693383728786584
2025-01-23,2025-01-24,ml_big_up_index_enhancement,0.88,ADJUST,0.0091259307659845,0.00803081907406636,-0.0010951116919181401,0.0,0.0,0.00109511169191814,-0.0,-0.00109511169191814,-0.00109511169191814,True,0.5935321151291907,0.4857248146139644,0.1078073005152263
2025-01-24,2025-01-27,ml_big_up_index_enhancement,0.88,ADJUST,-0.00075811329612,-0.0006671397005856,9.097359553439995e-05,0.0,0.0,0.0,9.097359553439999e-05,9.097359553439999e-05,9.097359553439999e-05,True,0.6039266607641829,0.4710524653036263,0.1328741954605565
2025-01-27,2025-02-05,ml_big_up_index_enhancement,0.88,ADJUST,0.0223394604402011,0.019658725187376967,-0.0026807352528241332,0.0,0.0,0.002680735252824132,-0.0,-0.002680735252824132,-0.002680735252824132,True,0.5870872993663241,0.521188261023816,0.0658990383425081
2025-02-05,2025-02-06,ml_big_up_index_enhancement,0.88,ADJUST,0.0149082265944804,0.013119239403142753,-0.0017889871913376477,0.0,0.0,0.0017889871913376481,-0.0,-0.0017889871913376481,-0.0017889871913376481,True,0.5715494806238475,0.5384369090292676,0.0331125715945799
2025-02-06,2025-02-07,ml_big_up_index_enhancement,0.88,ADJUST,0.0107261348703471,0.009438998685905448,-0.0012871361844416524,0.0,0.0,0.001287136184441652,-0.0,-0.001287136184441652,-0.001287136184441652,True,0.2799703243276597,0.5353028798788516,-0.2553325555511919
2025-02-07,2025-02-10,ml_big_up_index_enhancement,0.88,ADJUST,0.0258382099650633,0.022737624769255706,-0.0031005851958075953,0.0,0.0,0.003100585195807596,-0.0,-0.003100585195807596,-0.003100585195807596,True,0.259041671635584,0.4940917301749826,-0.2350500585393986
2025-02-10,2025-02-11,ml_big_up_index_enhancement,0.92,ADJUST,-0.0015334305426236,-0.0014507560992137122,8.267444340988783e-05,0.040000000000000036,4.000000000000004e-05,0.0,0.00012267444340988793,0.00012267444340988793,8.26744434098879e-05,True,0.2595309470179281,0.5482949591040328,-0.2887640120861047
2025-02-11,2025-02-12,ml_big_up_index_enhancement,0.92,ADJUST,0.0040694547081505,0.0037438983314984605,-0.0003255563766520397,0.0,0.0,0.00032555637665203986,-0.0,-0.00032555637665203986,-0.00032555637665203986,True,0.2152204275391614,0.6208183365737059,-0.4055979090345444
2025-02-12,2025-02-13,ml_big_up_index_enhancement,0.92,ADJUST,-0.0127496801940615,-0.01172970577853658,0.00101997441552492,0.0,0.0,0.0,0.0010199744155249195,0.0010199744155249195,0.0010199744155249195,True,0.1313197039365396,0.6110223740521881,-0.4797026701156485
2025-02-13,2025-02-14,ml_big_up_index_enhancement,0.92,ADJUST,0.0013591366439467,0.001250405712430964,-0.00010873093151573588,0.0,0.0,0.00010873093151573594,-0.0,-0.00010873093151573594,-0.00010873093151573594,True,0.1395056432099854,0.6446080390801708,-0.5051023958701855
2025-02-14,2025-02-17,ml_big_up_index_enhancement,0.92,ADJUST,0.025760691205964,0.023699835909486884,-0.0020608552964771175,0.0,0.0,0.0020608552964771192,-0.0,-0.0020608552964771192,-0.0020608552964771192,True,0.1329456499325516,0.63156846541142,-0.4986228154788683
2025-02-17,2025-02-18,ml_big_up_index_enhancement,0.92,ADJUST,-0.0242941465449778,-0.022350614821379577,0.0019435317235982248,0.0,0.0,0.0,0.001943531723598223,0.001943531723598223,0.001943531723598223,True,0.2060983642037128,0.6291669847691032,-0.4230686205653903
2025-02-18,2025-02-19,ml_big_up_index_enhancement,0.92,ADJUST,0.0205699885637946,0.01892438947869103,-0.0016455990851035676,0.0,0.0,0.001645599085103567,-0.0,-0.001645599085103567,-0.001645599085103567,True,0.2292788123838987,0.6303511576517351,-0.4010723452678364
2025-02-19,2025-02-20,ml_big_up_index_enhancement,0.92,ADJUST,0.0124651061319001,0.011467897641348092,-0.0009972084905520082,0.0,0.0,0.0009972084905520075,-0.0,-0.0009972084905520075,-0.0009972084905520075,True,0.1605109158555236,0.6690218137410586,-0.508510897885535
