number,value,datetime_start,datetime_complete,duration,params_big_down_prob_threshold,params_big_up_prob_threshold,params_decision_target_label,params_defensive_cut_exposure,params_drawdown_threshold,params_family,params_high_volatility_multiplier,params_mild_cut_exposure,params_min_strong_up_position,params_no_trade_band,params_opportunity_cost_buffer,params_severe_defensive_exposure,params_signal_candidate_id,params_tail_score_threshold,user_attrs_experiment_id,user_attrs_failure_reason,user_attrs_status,user_attrs_test_excess_return_vs_buy_hold,state
0,1.7042203901154998,2026-06-02 19:09:45.524769,2026-06-02 19:13:10.655137,0 days 00:03:25.130368,0.7147863310179268,0.5714234438413611,avoid_loss_label,0.9867052412368729,0.12850384088698769,ml_bull_full_participation_enhancement,1.34140800826864,0.9954679036671129,0.9886553652300805,0.09591084298026666,0.001175809805211491,0.9616262898246319,4,0.0023225206359998862,auto_20260602_190945_exp_001,,ok,0.004426566684889721,COMPLETE
1,0.7046910007592944,2026-06-02 19:13:10.655281,2026-06-02 19:13:10.909078,0 days 00:00:00.253797,0.5711386337462144,0.5896965691474073,big_down_label,0.9589509549280414,0.10077307142274171,ml_big_up_plus_115,1.0812148657671925,0.9526092725287919,0.9712057203154285,0.017948627261366895,0.0020393121856696786,0.8972244769296658,5,0.04010984903770198,auto_20260602_190945_exp_002,,ok,-0.07183605254529901,COMPLETE
2,0.05825958773749734,2026-06-02 19:13:10.909212,2026-06-02 19:13:11.123657,0 days 00:00:00.214445,0.686134971088914,0.5859427760281173,avoid_loss_label,0.9404440910834438,0.06806106436270022,ml_direct_signal_timing,1.143745319641029,0.9643634023062471,0.9778909295702771,0.01307919639315172,0.002173804645259509,0.8428798165491622,5,0.012464611457443748,auto_20260602_190945_exp_003,,ok,-0.20531260430789655,COMPLETE
3,0.19715724459007966,2026-06-02 19:13:11.123785,2026-06-02 19:17:11.407612,0 days 00:04:00.283827,0.6245872758838579,0.5576960525407901,avoid_loss_label,0.8829509557883626,0.07393232321183058,ml_direct_signal_timing,1.0913253252749977,0.9599694173032113,0.9772479765789996,0.03010716092915446,0.0012072552141338532,0.8809564333979897,13,0.015043915490838484,auto_20260602_190945_exp_004,,ok,-0.2263789422239002,COMPLETE
4,1.3660614763956138,2026-06-02 19:17:11.407736,2026-06-02 19:17:11.617361,0 days 00:00:00.209625,0.6211599526575388,0.5437520944145994,reduce_position_worth_label,0.9663201806014294,0.09776004057997312,ml_conservative_full_participation_enhancement,1.2597888840442675,0.9881173404569641,0.9658895173506802,0.04469928207153805,0.0011385932072606325,0.9128970813857578,6,0.0056736760620294535,auto_20260602_190945_exp_005,,ok,-0.04441974018638328,COMPLETE
5,1.1087266159000182,2026-06-02 19:17:11.617498,2026-06-02 19:17:11.820161,0 days 00:00:00.202663,0.6674449348570821,0.6046491405118024,big_down_label,0.9570492581000641,0.08219948216895419,ml_conservative_full_participation_enhancement,1.1383445208899796,0.9814403223075086,0.9791903166425734,0.03154721113767451,0.0013503368145334647,0.9046837383914046,6,0.0424611705247089,auto_20260602_190945_exp_006,,ok,-0.047931826589995286,COMPLETE
6,0.6798061714313465,2026-06-02 19:17:11.820287,2026-06-02 19:17:12.026050,0 days 00:00:00.205763,0.6904232161241171,0.5912481388704185,big_down_label,0.8877741195016615,0.08591648261818684,ml_big_up_index_enhancement,1.1108184833520354,0.9699521409531278,0.9763211921578386,0.049602154004170534,0.0020593066501821476,0.881500722669917,12,0.03480148983374865,auto_20260602_190945_exp_007,,ok,-0.10188211478868414,COMPLETE
7,0.6053747602973091,2026-06-02 19:17:12.026176,2026-06-02 19:17:12.259028,0 days 00:00:00.232852,0.5690590768977828,0.569620970555239,reduce_position_worth_label,0.8972656821997474,0.0865677315784074,ml_big_up_plus_120,1.0913699786570938,0.9769497743584513,0.9662190536483032,0.01341389859975072,0.0018836308325469512,0.8822890475819001,0,0.02611216300274022,auto_20260602_190945_exp_008,,ok,-0.06542303061042398,COMPLETE
